cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-2	5	100	50	291306666.666667	5	1
-2	5	50	50	291306666.666667	5	2
-1	5	100	50	291306666.666667	5	3
-1	5	50	50	291306666.666667	5	4
-0.5	5	100	50	291306666.666667	5	5
-0.5	5	50	50	291306666.666667	5	6
-0.1	5	100	50	291306666.666667	5	7
-0.1	5	50	50	291306666.666667	5	8
-0.01	5	100	50	291306666.666667	5	9
-0.01	5	50	50	291306666.666667	5	10
-0.001	5	100	50	291306666.666667	5	11
-0.001	5	50	50	291306666.666667	5	12
-2	5	5	15	290200000	5	13
-1	5	5	15	290200000	5	14
-0.5	5	5	15	290200000	5	15
-0.1	5	5	15	290200000	5	16
-0.01	5	5	15	290200000	5	17
-0.001	5	5	15	290200000	5	18
-2	5	20	20	289906666.666667	5	19
-2	5	10	20	289906666.666667	5	20
-1	5	20	20	289906666.666667	5	21
-1	5	10	20	289906666.666667	5	22
-0.5	5	20	20	289906666.666667	5	23
-0.5	5	10	20	289906666.666667	5	24
-0.1	5	20	20	289906666.666667	5	25
-0.1	5	10	20	289906666.666667	5	26
-0.01	5	20	20	289906666.666667	5	27
-0.01	5	10	20	289906666.666667	5	28
-0.001	5	20	20	289906666.666667	5	29
-0.001	5	10	20	289906666.666667	5	30
-2	5	200	66.6666666666667	289586666.666667	5	31
-1	5	200	66.6666666666667	289586666.666667	5	32
-0.5	5	200	66.6666666666667	289586666.666667	5	33
-0.1	5	200	66.6666666666667	289586666.666667	5	34
-0.01	5	200	66.6666666666667	289586666.666667	5	35
-0.001	5	200	66.6666666666667	289586666.666667	5	36
-2	5	20	60	289573333.333334	5	37
-1	5	20	60	289573333.333334	5	38
-0.5	5	20	60	289573333.333334	5	39
-0.1	5	20	60	289573333.333334	5	40
-0.01	5	20	60	289573333.333334	5	41
-0.001	5	20	60	289573333.333334	5	42
-2	5	200	100	289373333.333333	5	43
-2	5	100	100	289373333.333333	5	44
-2	5	50	100	289373333.333333	5	45
-1	5	200	100	289373333.333333	5	46
-1	5	100	100	289373333.333333	5	47
-1	5	50	100	289373333.333333	5	48
-0.5	5	200	100	289373333.333333	5	49
-0.5	5	100	100	289373333.333333	5	50
-0.5	5	50	100	289373333.333333	5	51
-0.1	5	200	100	289373333.333333	5	52
-0.1	5	100	100	289373333.333333	5	53
-0.1	5	50	100	289373333.333333	5	54
-0.01	5	200	100	289373333.333333	5	55
-0.01	5	100	100	289373333.333333	5	56
-0.01	5	50	100	289373333.333333	5	57
-0.001	5	200	100	289373333.333333	5	58
-0.001	5	100	100	289373333.333333	5	59
-0.001	5	50	100	289373333.333333	5	60
-2	5	50	16.6666666666667	289360000	5	61
-1	5	50	16.6666666666667	289360000	5	62
-0.5	5	50	16.6666666666667	289360000	5	63
-0.1	5	50	16.6666666666667	289360000	5	64
-0.01	5	50	16.6666666666667	289360000	5	65
-0.001	5	50	16.6666666666667	289360000	5	66
-2	5	50	25	288720000	5	67
-1	5	50	25	288720000	5	68
-0.5	5	50	25	288720000	5	69
-0.1	5	50	25	288720000	5	70
-0.01	5	50	25	288720000	5	71
-0.001	5	50	25	288720000	5	72
-2	5	10	30	288093333.333333	5	73
-1	5	10	30	288093333.333333	5	74
-0.5	5	10	30	288093333.333333	5	75
-0.1	5	10	30	288093333.333333	5	76
-0.01	5	10	30	288093333.333333	5	77
-0.001	5	10	30	288093333.333333	5	78
-2	5	100	33.3333333333333	287920000	5	79
-1	5	100	33.3333333333333	287920000	5	80
-0.5	5	100	33.3333333333333	287920000	5	81
-0.1	5	100	33.3333333333333	287920000	5	82
-0.01	5	100	33.3333333333333	287920000	5	83
-0.001	5	100	33.3333333333333	287920000	5	84
-2	8	600	200	287866666.666666	5	85
-1	8	600	200	287866666.666666	5	86
-0.5	8	600	200	287866666.666666	5	87
-0.1	8	600	200	287866666.666666	5	88
-0.01	8	600	200	287866666.666666	5	89
-0.001	8	600	200	287866666.666666	5	90
-2	5	20	40	287680000	5	91
-1	5	20	40	287680000	5	92
-0.5	5	20	40	287680000	5	93
-0.1	5	20	40	287680000	5	94
-0.01	5	20	40	287680000	5	95
-0.001	5	20	40	287680000	5	96
-2	8	1000	500	287360000	5	97
-1	8	1000	500	287360000	5	98
-0.5	8	1000	500	287360000	5	99
-0.1	8	1000	500	287360000	5	100
-0.01	8	1000	500	287360000	5	101
-0.001	8	1000	500	287360000	5	102
-2	5	20	6.66666666666667	286560000	5	103
-1	5	20	6.66666666666667	286560000	5	104
-0.5	5	20	6.66666666666667	286560000	5	105
-0.1	5	20	6.66666666666667	286560000	5	106
-0.01	5	20	6.66666666666667	286560000	5	107
-0.001	5	20	6.66666666666667	286560000	5	108
-2	8	800	400	286360000	5	109
-2	8	400	400	286360000	5	110
-2	8	200	400	286360000	5	111
-1	8	800	400	286360000	5	112
-1	8	400	400	286360000	5	113
-1	8	200	400	286360000	5	114
-0.5	8	800	400	286360000	5	115
-0.5	8	400	400	286360000	5	116
-0.5	8	200	400	286360000	5	117
-0.1	8	800	400	286360000	5	118
-0.1	8	400	400	286360000	5	119
-0.1	8	200	400	286360000	5	120
-0.01	8	800	400	286360000	5	121
-0.01	8	400	400	286360000	5	122
-0.01	8	200	400	286360000	5	123
-0.001	8	800	400	286360000	5	124
-0.001	8	400	400	286360000	5	125
-0.001	8	200	400	286360000	5	126
-2	8	600	300	286320000	5	127
-2	8	100	300	286320000	5	128
-1	8	600	300	286320000	5	129
-1	8	100	300	286320000	5	130
-0.5	8	600	300	286320000	5	131
-0.5	8	100	300	286320000	5	132
-0.1	8	600	300	286320000	5	133
-0.1	8	100	300	286320000	5	134
-0.01	8	600	300	286320000	5	135
-0.01	8	100	300	286320000	5	136
-0.001	8	600	300	286320000	5	137
-0.001	8	100	300	286320000	5	138
-2	8	1500	500	286186666.666667	5	139
-1	8	1500	500	286186666.666667	5	140
-0.5	8	1500	500	286186666.666667	5	141
-0.1	8	1500	500	286186666.666667	5	142
-0.01	8	1500	500	286186666.666667	5	143
-0.001	8	1500	500	286186666.666667	5	144
-2	8	1000	333.333333333333	285826666.666667	5	145
-1	8	1000	333.333333333333	285826666.666667	5	146
-0.5	8	1000	333.333333333333	285826666.666667	5	147
-0.1	8	1000	333.333333333333	285826666.666667	5	148
-0.01	8	1000	333.333333333333	285826666.666667	5	149
-0.001	8	1000	333.333333333333	285826666.666667	5	150
-2	5	400	133.333333333333	285800000	5	151
-1	5	400	133.333333333333	285800000	5	152
-0.5	5	400	133.333333333333	285800000	5	153
-0.1	5	400	133.333333333333	285800000	5	154
-0.01	5	400	133.333333333333	285800000	5	155
-0.001	5	400	133.333333333333	285800000	5	156
-2	10	1500	500	285440000	5	157
-1	10	1500	500	285440000	5	158
-0.5	10	1500	500	285440000	5	159
-0.1	10	1500	500	285440000	5	160
-0.01	10	1500	500	285440000	5	161
-0.001	10	1500	500	285440000	5	162
-2	5	20	10	285213333.333333	5	163
-2	5	10	10	285213333.333333	5	164
-2	5	5	10	285213333.333333	5	165
-1	5	20	10	285213333.333333	5	166
-1	5	10	10	285213333.333333	5	167
-1	5	5	10	285213333.333333	5	168
-0.5	5	20	10	285213333.333333	5	169
-0.5	5	10	10	285213333.333333	5	170
-0.5	5	5	10	285213333.333333	5	171
-0.1	5	20	10	285213333.333333	5	172
-0.1	5	10	10	285213333.333333	5	173
-0.1	5	5	10	285213333.333333	5	174
-0.01	5	20	10	285213333.333333	5	175
-0.01	5	10	10	285213333.333333	5	176
-0.01	5	5	10	285213333.333333	5	177
-0.001	5	20	10	285213333.333333	5	178
-0.001	5	10	10	285213333.333333	5	179
-0.001	5	5	10	285213333.333333	5	180
-2	10	600	200	284733333.333334	5	181
-1	10	600	200	284733333.333334	5	182
-0.5	10	600	200	284733333.333334	5	183
-0.1	10	600	200	284733333.333334	5	184
-0.01	10	600	200	284733333.333334	5	185
-0.001	10	600	200	284733333.333334	5	186
-2	10	1000	500	284493333.333333	5	187
-1	10	1000	500	284493333.333333	5	188
-0.5	10	1000	500	284493333.333333	5	189
-0.1	10	1000	500	284493333.333333	5	190
-0.01	10	1000	500	284493333.333333	5	191
-0.001	10	1000	500	284493333.333333	5	192
-2	5	10	5	284253333.333333	5	193
-2	5	5	5	284253333.333333	5	194
-1	5	10	5	284253333.333333	5	195
-1	5	5	5	284253333.333333	5	196
-0.5	5	10	5	284253333.333333	5	197
-0.5	5	5	5	284253333.333333	5	198
-0.1	5	10	5	284253333.333333	5	199
-0.1	5	5	5	284253333.333333	5	200
-0.01	5	10	5	284253333.333333	5	201
-0.01	5	5	5	284253333.333333	5	202
-0.001	5	10	5	284253333.333333	5	203
-0.001	5	5	5	284253333.333333	5	204
-2	8	800	266.666666666667	284080000	5	205
-1	8	800	266.666666666667	284080000	5	206
-0.5	8	800	266.666666666667	284080000	5	207
-0.1	8	800	266.666666666667	284080000	5	208
-0.01	8	800	266.666666666667	284080000	5	209
-0.001	8	800	266.666666666667	284080000	5	210
-2	12	1500	500	283733333.333333	5	211
-1	12	1500	500	283733333.333333	5	212
-0.5	12	1500	500	283733333.333333	5	213
-0.1	12	1500	500	283733333.333333	5	214
-0.01	12	1500	500	283733333.333333	5	215
-0.001	12	1500	500	283733333.333333	5	216
-2	14	1500	500	283733333.333333	5	217
-1	14	1500	500	283733333.333333	5	218
-0.5	14	1500	500	283733333.333333	5	219
-0.1	14	1500	500	283733333.333333	5	220
-0.01	14	1500	500	283733333.333333	5	221
-0.001	14	1500	500	283733333.333333	5	222
-2	16	1500	500	283733333.333333	5	223
-1	16	1500	500	283733333.333333	5	224
-0.5	16	1500	500	283733333.333333	5	225
-0.1	16	1500	500	283733333.333333	5	226
-0.01	16	1500	500	283733333.333333	5	227
-0.001	16	1500	500	283733333.333333	5	228
-2	20	1500	500	283733333.333333	5	229
-1	20	1500	500	283733333.333333	5	230
-0.5	20	1500	500	283733333.333333	5	231
-0.1	20	1500	500	283733333.333333	5	232
-0.01	20	1500	500	283733333.333333	5	233
-0.001	20	1500	500	283733333.333333	5	234
-2	25	1500	500	283733333.333333	5	235
-1	25	1500	500	283733333.333333	5	236
-0.5	25	1500	500	283733333.333333	5	237
-0.1	25	1500	500	283733333.333333	5	238
-0.01	25	1500	500	283733333.333333	5	239
-0.001	25	1500	500	283733333.333333	5	240
-2	30	1500	500	283733333.333333	5	241
-1	30	1500	500	283733333.333333	5	242
-0.5	30	1500	500	283733333.333333	5	243
-0.1	30	1500	500	283733333.333333	5	244
-0.01	30	1500	500	283733333.333333	5	245
-0.001	30	1500	500	283733333.333333	5	246
-2	5	1000	333.333333333333	283573333.333333	5	247
-1	5	1000	333.333333333333	283573333.333333	5	248
-0.5	5	1000	333.333333333333	283573333.333333	5	249
-0.1	5	1000	333.333333333333	283573333.333333	5	250
-0.01	5	1000	333.333333333333	283573333.333333	5	251
-0.001	5	1000	333.333333333333	283573333.333333	5	252
-2	6	1000	500	283280000	5	253
-1	6	1000	500	283280000	5	254
-0.5	6	1000	500	283280000	5	255
-0.1	6	1000	500	283280000	5	256
-0.01	6	1000	500	283280000	5	257
-0.001	6	1000	500	283280000	5	258
-2	5	50	150	283226666.666667	5	259
-1	5	50	150	283226666.666667	5	260
-0.5	5	50	150	283226666.666667	5	261
-0.1	5	50	150	283226666.666667	5	262
-0.01	5	50	150	283226666.666667	5	263
-0.001	5	50	150	283226666.666667	5	264
-2	10	800	400	283160000	5	265
-2	10	400	400	283160000	5	266
-2	10	200	400	283160000	5	267
-1	10	800	400	283160000	5	268
-1	10	400	400	283160000	5	269
-1	10	200	400	283160000	5	270
-0.5	10	800	400	283160000	5	271
-0.5	10	400	400	283160000	5	272
-0.5	10	200	400	283160000	5	273
-0.1	10	800	400	283160000	5	274
-0.1	10	400	400	283160000	5	275
-0.1	10	200	400	283160000	5	276
-0.01	10	800	400	283160000	5	277
-0.01	10	400	400	283160000	5	278
-0.01	10	200	400	283160000	5	279
-0.001	10	800	400	283160000	5	280
-0.001	10	400	400	283160000	5	281
-0.001	10	200	400	283160000	5	282
-2	8	600	600	283080000	5	283
-2	8	200	600	283080000	5	284
-1	8	600	600	283080000	5	285
-1	8	200	600	283080000	5	286
-0.5	8	600	600	283080000	5	287
-0.5	8	200	600	283080000	5	288
-0.1	8	600	600	283080000	5	289
-0.1	8	200	600	283080000	5	290
