semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
590819	-2	1	2000	2000	227533333.333333
526937	-2	1	2000	2000	215866666.666667
753937	-2	1	2000	2000	222666666.666667
101173	-2	1	2000	2000	207333333.333333
715727	-2	1	2000	2000	166133333.333333
590819	-2	1	2000	1000	227533333.333333
526937	-2	1	2000	1000	215866666.666667
753937	-2	1	2000	1000	222666666.666667
101173	-2	1	2000	1000	207333333.333333
715727	-2	1	2000	1000	166133333.333333
590819	-2	1	2000	666.666666666667	227533333.333333
526937	-2	1	2000	666.666666666667	215866666.666667
753937	-2	1	2000	666.666666666667	222666666.666667
101173	-2	1	2000	666.666666666667	207333333.333333
715727	-2	1	2000	666.666666666667	166133333.333333
590819	-2	1	2000	4000	227533333.333333
526937	-2	1	2000	4000	215866666.666667
753937	-2	1	2000	4000	222666666.666667
101173	-2	1	2000	4000	207333333.333333
715727	-2	1	2000	4000	202600000
590819	-2	1	2000	6000	242866666.666667
526937	-2	1	2000	6000	217333333.333333
753937	-2	1	2000	6000	2.27e+08
101173	-2	1	2000	6000	238466666.666667
715727	-2	1	2000	6000	212333333.333333
590819	-2	1	1500	1500	227533333.333333
526937	-2	1	1500	1500	215866666.666667
753937	-2	1	1500	1500	222666666.666667
101173	-2	1	1500	1500	207333333.333333
715727	-2	1	1500	1500	166133333.333333
590819	-2	1	1500	750	227533333.333333
526937	-2	1	1500	750	215866666.666667
753937	-2	1	1500	750	222666666.666667
101173	-2	1	1500	750	207333333.333333
715727	-2	1	1500	750	166133333.333333
590819	-2	1	1500	500	227533333.333333
526937	-2	1	1500	500	215866666.666667
753937	-2	1	1500	500	222666666.666667
101173	-2	1	1500	500	207333333.333333
715727	-2	1	1500	500	166133333.333333
590819	-2	1	1500	3000	227533333.333333
526937	-2	1	1500	3000	215866666.666667
753937	-2	1	1500	3000	222666666.666667
101173	-2	1	1500	3000	207333333.333333
715727	-2	1	1500	3000	166133333.333333
590819	-2	1	1500	4500	247466666.666667
526937	-2	1	1500	4500	215866666.666667
753937	-2	1	1500	4500	222666666.666667
101173	-2	1	1500	4500	213400000
715727	-2	1	1500	4500	212333333.333333
590819	-2	1	1000	1000	227533333.333333
526937	-2	1	1000	1000	215866666.666667
753937	-2	1	1000	1000	222666666.666667
101173	-2	1	1000	1000	207333333.333333
715727	-2	1	1000	1000	166133333.333333
590819	-2	1	1000	500	227533333.333333
526937	-2	1	1000	500	215866666.666667
753937	-2	1	1000	500	222666666.666667
101173	-2	1	1000	500	207333333.333333
715727	-2	1	1000	500	166133333.333333
590819	-2	1	1000	333.333333333333	227533333.333333
526937	-2	1	1000	333.333333333333	215866666.666667
753937	-2	1	1000	333.333333333333	222666666.666667
101173	-2	1	1000	333.333333333333	207333333.333333
715727	-2	1	1000	333.333333333333	166133333.333333
590819	-2	1	1000	2000	227533333.333333
526937	-2	1	1000	2000	215866666.666667
753937	-2	1	1000	2000	222666666.666667
101173	-2	1	1000	2000	207333333.333333
715727	-2	1	1000	2000	166133333.333333
590819	-2	1	1000	3000	227533333.333333
526937	-2	1	1000	3000	215866666.666667
753937	-2	1	1000	3000	222666666.666667
101173	-2	1	1000	3000	207333333.333333
715727	-2	1	1000	3000	166133333.333333
590819	-2	1	800	800	227533333.333333
526937	-2	1	800	800	215866666.666667
753937	-2	1	800	800	222666666.666667
101173	-2	1	800	800	207333333.333333
715727	-2	1	800	800	166133333.333333
590819	-2	1	800	400	227533333.333333
526937	-2	1	800	400	215866666.666667
753937	-2	1	800	400	222666666.666667
101173	-2	1	800	400	207333333.333333
715727	-2	1	800	400	166133333.333333
590819	-2	1	800	266.666666666667	227533333.333333
526937	-2	1	800	266.666666666667	215866666.666667
753937	-2	1	800	266.666666666667	222666666.666667
101173	-2	1	800	266.666666666667	207333333.333333
715727	-2	1	800	266.666666666667	166133333.333333
590819	-2	1	800	1600	227533333.333333
526937	-2	1	800	1600	215866666.666667
753937	-2	1	800	1600	222666666.666667
101173	-2	1	800	1600	207333333.333333
715727	-2	1	800	1600	166133333.333333
590819	-2	1	800	2400	227533333.333333
526937	-2	1	800	2400	215866666.666667
753937	-2	1	800	2400	222666666.666667
101173	-2	1	800	2400	207333333.333333
715727	-2	1	800	2400	166133333.333333
590819	-2	1	600	600	227533333.333333
526937	-2	1	600	600	215866666.666667
753937	-2	1	600	600	222666666.666667
101173	-2	1	600	600	207333333.333333
715727	-2	1	600	600	166133333.333333
590819	-2	1	600	300	227533333.333333
526937	-2	1	600	300	215866666.666667
753937	-2	1	600	300	222666666.666667
101173	-2	1	600	300	207333333.333333
715727	-2	1	600	300	166133333.333333
590819	-2	1	600	200	227533333.333333
526937	-2	1	600	200	215866666.666667
753937	-2	1	600	200	222666666.666667
101173	-2	1	600	200	207333333.333333
715727	-2	1	600	200	166133333.333333
590819	-2	1	600	1200	227533333.333333
526937	-2	1	600	1200	215866666.666667
753937	-2	1	600	1200	222666666.666667
101173	-2	1	600	1200	207333333.333333
715727	-2	1	600	1200	166133333.333333
590819	-2	1	600	1800	227533333.333333
526937	-2	1	600	1800	215866666.666667
753937	-2	1	600	1800	222666666.666667
101173	-2	1	600	1800	207333333.333333
715727	-2	1	600	1800	166133333.333333
590819	-2	1	400	400	227533333.333333
526937	-2	1	400	400	215866666.666667
753937	-2	1	400	400	222666666.666667
101173	-2	1	400	400	207333333.333333
715727	-2	1	400	400	166133333.333333
590819	-2	1	400	200	227533333.333333
526937	-2	1	400	200	215866666.666667
753937	-2	1	400	200	222666666.666667
101173	-2	1	400	200	207333333.333333
715727	-2	1	400	200	166133333.333333
590819	-2	1	400	133.333333333333	227533333.333333
526937	-2	1	400	133.333333333333	215866666.666667
753937	-2	1	400	133.333333333333	222666666.666667
101173	-2	1	400	133.333333333333	207333333.333333
715727	-2	1	400	133.333333333333	166133333.333333
590819	-2	1	400	800	227533333.333333
526937	-2	1	400	800	215866666.666667
753937	-2	1	400	800	222666666.666667
101173	-2	1	400	800	207333333.333333
715727	-2	1	400	800	166133333.333333
590819	-2	1	400	1200	227533333.333333
526937	-2	1	400	1200	215866666.666667
753937	-2	1	400	1200	222666666.666667
101173	-2	1	400	1200	207333333.333333
715727	-2	1	400	1200	166133333.333333
590819	-2	1	200	200	227533333.333333
526937	-2	1	200	200	215866666.666667
753937	-2	1	200	200	222666666.666667
101173	-2	1	200	200	207333333.333333
715727	-2	1	200	200	166133333.333333
590819	-2	1	200	100	227533333.333333
526937	-2	1	200	100	215866666.666667
753937	-2	1	200	100	222666666.666667
101173	-2	1	200	100	207333333.333333
715727	-2	1	200	100	166133333.333333
590819	-2	1	200	66.6666666666667	227533333.333333
526937	-2	1	200	66.6666666666667	215866666.666667
753937	-2	1	200	66.6666666666667	222666666.666667
101173	-2	1	200	66.6666666666667	207333333.333333
715727	-2	1	200	66.6666666666667	166133333.333333
590819	-2	1	200	400	227533333.333333
526937	-2	1	200	400	215866666.666667
753937	-2	1	200	400	222666666.666667
101173	-2	1	200	400	207333333.333333
715727	-2	1	200	400	166133333.333333
590819	-2	1	200	600	227533333.333333
526937	-2	1	200	600	215866666.666667
753937	-2	1	200	600	222666666.666667
101173	-2	1	200	600	207333333.333333
715727	-2	1	200	600	166133333.333333
590819	-2	1	100	100	227533333.333333
526937	-2	1	100	100	215866666.666667
753937	-2	1	100	100	222666666.666667
101173	-2	1	100	100	207333333.333333
715727	-2	1	100	100	166133333.333333
590819	-2	1	100	50	227533333.333333
526937	-2	1	100	50	215866666.666667
753937	-2	1	100	50	222666666.666667
101173	-2	1	100	50	207333333.333333
715727	-2	1	100	50	166133333.333333
590819	-2	1	100	33.3333333333333	227533333.333333
526937	-2	1	100	33.3333333333333	215866666.666667
753937	-2	1	100	33.3333333333333	222666666.666667
101173	-2	1	100	33.3333333333333	207333333.333333
715727	-2	1	100	33.3333333333333	166133333.333333
590819	-2	1	100	200	227533333.333333
526937	-2	1	100	200	215866666.666667
753937	-2	1	100	200	222666666.666667
101173	-2	1	100	200	207333333.333333
715727	-2	1	100	200	166133333.333333
590819	-2	1	100	300	227533333.333333
526937	-2	1	100	300	215866666.666667
753937	-2	1	100	300	222666666.666667
101173	-2	1	100	300	207333333.333333
715727	-2	1	100	300	166133333.333333
590819	-2	1	50	50	227533333.333333
526937	-2	1	50	50	215866666.666667
753937	-2	1	50	50	222666666.666667
101173	-2	1	50	50	207333333.333333
715727	-2	1	50	50	166133333.333333
590819	-2	1	50	25	227533333.333333
526937	-2	1	50	25	215866666.666667
753937	-2	1	50	25	222666666.666667
101173	-2	1	50	25	207333333.333333
715727	-2	1	50	25	166133333.333333
590819	-2	1	50	16.6666666666667	227533333.333333
526937	-2	1	50	16.6666666666667	215866666.666667
753937	-2	1	50	16.6666666666667	222666666.666667
101173	-2	1	50	16.6666666666667	207333333.333333
715727	-2	1	50	16.6666666666667	166133333.333333
590819	-2	1	50	100	227533333.333333
526937	-2	1	50	100	215866666.666667
753937	-2	1	50	100	222666666.666667
101173	-2	1	50	100	207333333.333333
715727	-2	1	50	100	166133333.333333
590819	-2	1	50	150	227533333.333333
526937	-2	1	50	150	215866666.666667
753937	-2	1	50	150	222666666.666667
101173	-2	1	50	150	207333333.333333
715727	-2	1	50	150	166133333.333333
590819	-2	1	20	20	227533333.333333
526937	-2	1	20	20	215866666.666667
753937	-2	1	20	20	222666666.666667
101173	-2	1	20	20	207333333.333333
715727	-2	1	20	20	166133333.333333
590819	-2	1	20	10	227533333.333333
526937	-2	1	20	10	215866666.666667
753937	-2	1	20	10	222666666.666667
101173	-2	1	20	10	207333333.333333
715727	-2	1	20	10	166133333.333333
590819	-2	1	20	6.66666666666667	227533333.333333
526937	-2	1	20	6.66666666666667	215866666.666667
753937	-2	1	20	6.66666666666667	222666666.666667
101173	-2	1	20	6.66666666666667	207333333.333333
715727	-2	1	20	6.66666666666667	166133333.333333
590819	-2	1	20	40	227533333.333333
526937	-2	1	20	40	215866666.666667
753937	-2	1	20	40	222666666.666667
101173	-2	1	20	40	207333333.333333
715727	-2	1	20	40	166133333.333333
590819	-2	1	20	60	227533333.333333
526937	-2	1	20	60	215866666.666667
753937	-2	1	20	60	222666666.666667
101173	-2	1	20	60	207333333.333333
715727	-2	1	20	60	166133333.333333
590819	-2	1	10	10	227533333.333333
526937	-2	1	10	10	215866666.666667
753937	-2	1	10	10	222666666.666667
101173	-2	1	10	10	207333333.333333
715727	-2	1	10	10	166133333.333333
590819	-2	1	10	5	227533333.333333
526937	-2	1	10	5	215866666.666667
753937	-2	1	10	5	222666666.666667
101173	-2	1	10	5	207333333.333333
715727	-2	1	10	5	166133333.333333
590819	-2	1	10	3.33333333333333	227533333.333333
526937	-2	1	10	3.33333333333333	215866666.666667
753937	-2	1	10	3.33333333333333	222666666.666667
101173	-2	1	10	3.33333333333333	207333333.333333
715727	-2	1	10	3.33333333333333	166133333.333333
590819	-2	1	10	20	227533333.333333
526937	-2	1	10	20	215866666.666667
753937	-2	1	10	20	222666666.666667
101173	-2	1	10	20	207333333.333333
715727	-2	1	10	20	166133333.333333
590819	-2	1	10	30	227533333.333333
526937	-2	1	10	30	215866666.666667
753937	-2	1	10	30	222666666.666667
101173	-2	1	10	30	207333333.333333
715727	-2	1	10	30	166133333.333333
590819	-2	1	5	5	227533333.333333
526937	-2	1	5	5	215866666.666667
753937	-2	1	5	5	222666666.666667
101173	-2	1	5	5	207333333.333333
715727	-2	1	5	5	166133333.333333
590819	-2	1	5	2.5	227533333.333333
526937	-2	1	5	2.5	215866666.666667
753937	-2	1	5	2.5	222666666.666667
101173	-2	1	5	2.5	207333333.333333
715727	-2	1	5	2.5	166133333.333333
590819	-2	1	5	1.66666666666667	227533333.333333
