fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20250905 105932	215	15	421	36	5	231520000	1
20250905 111930	247	19	279	35	5	223600000	2
20250905 112629	355	26	575	8	5	245060000	3
20250905 114244	329	12	481	29	5	240840000	4
20250905 115050	427	20	166	7	5	240040000	5
20250905 115732	119	22	503	24	5	228240000	6
20250905 121042	466	6	116	39	5	224280000	7
20250905 121118	36	24	742	5	5	229860000	8
20250905 121359	57	8	927	46	5	216380000	9
20250905 121423	150	1	824	12	5	2740000	10
20250905 121722	292	4	325	20	5	212520000	11
20250905 123516	177	28	754	42	5	217860000	12
20250905 124925	261	30	222	22	5	233520000	13
20250905 125933	472	4	684	49	5	212620000	14
20250905 130417	104	11	17	28	5	223340000	15
20250905 131625	386	17	993	15	5	243720000	16
20250905 140357	500	16	1000	48	5	227460000	17
20250905 142121	500	24	1000	16	5	245040000	18
20250905 143859	500	14	312	18	5	245160000	19
20250905 145624	500	20	701	16	5	243900000	20
20250905 150011	465	22	1000	2	5	220900000	21
20250905 151922	350	19	1000	26	5	238620000	22
20250905 155427	500	25	1	29	5	191900000	23
20250905 160529	331	30	850	15	5	242240000	24
20250905 161459	307	17	336	14	5	252560000	25
20250905 162732	251	8	359	50	5	227560000	26
20250905 163115	478	16	1	2	5	222120000	27
20250905 163514	493	27	1000	2	5	220400000	28
20250905 164459	363	9	1	21	5	236940000	29
20250905 164518	20	30	256	2	5	219340000	30
20250905 165616	307	25	801	16	5	247560000	31
20250905 171018	378	18	410	17	5	248040000	32
20250905 172028	314	12	239	18	5	2.42e+08	33
20250905 172750	261	24	320	12	5	238660000	34
20250905 174137	500	8	304	26	5	235200000	35
20250905 174229	20	27	1000	17	5	222100000	36
20250905 180130	500	30	617	17	5	246700000	37
20250905 181736	376	16	623	21	5	239200000	38
20250905 182556	401	17	343	9	5	247500000	39
20250905 182633	20	18	331	10	5	216840000	40
20250905 183816	378	17	237	14	5	238800000	41
20250905 184432	500	30	337	4	5	242500000	42
20250905 184633	283	14	430	2	5	219600000	43
20250905 185349	260	30	630	12	5	245360000	44
20250905 190638	302	14	346	22	5	238060000	45
20250905 191508	293	19	503	13	5	246880000	46
20250905 194317	486	12	999	37	5	235300000	47
20250905 201512	500	11	611	44	5	232780000	48
20250905 202741	500	11	351	15	5	236300000	49
20250905 203203	304	21	350	5	5	243760000	50
20250905 204009	476	30	1	6	5	235620000	51
20250905 210127	306	30	530	30	5	240860000	52
20250905 211053	286	17	492	15	5	241240000	53
20250905 211618	57	14	1	50	5	189600000	54
20250905 212917	433	29	452	13	5	251580000	55
20250905 214432	439	18	457	16	5	2.44e+08	56
