Feature	Gain	Cover	Frequency
ctrx_quarter	0.231585276308843	0.0263792288232635	0.0236636382843862
active_quarter	0.109049890859505	0.0195175413446558	0.0173251637439256
mpayroll	0.105191293813606	0.0273574610157824	0.0219733784069301
mprestamos_personales	0.0523395377658212	0.0202780255869896	0.0183815761673357
mpasivos_margen	0.0454539937343852	0.0182744689381315	0.0171138812592436
mcaja_ahorro	0.0332996865759352	0.0108606661459325	0.010775406718783
mcuentas_saldo	0.0277512621104536	0.0238290362782009	0.0221846608916121
Visa_msaldototal	0.0246073034365251	0.0148033758055521	0.0152123388971054
Visa_mpagominimo	0.0228888503077528	0.018907300678684	0.0194379885907458
Visa_msaldopesos	0.0220060992869562	0.0115680717329273	0.0133107965349673
Visa_status	0.0217067315075719	0.0130722691036309	0.0139446439890133
mcuenta_corriente	0.0200862761218529	0.0218261760786555	0.0253538981618424
Visa_cadelantosefectivo	0.0145180789596007	0.000345372286736857	0.00063384745404606
ctarjeta_visa_transacciones	0.0133918997503041	0.00857171634691821	0.00781745193323474
Master_status	0.0125231148896012	0.00677689733526228	0.00697232199450666
mrentabilidad_annual	0.0122003395155716	0.0332653586001764	0.031481090217621
mtarjeta_visa_consumo	0.0116350933768254	0.00990983104034695	0.00929642932600887
tcallcenter	0.0103739274951105	0.0100207457143447	0.00929642932600887
thomebanking	0.0103289316765708	0.0139244132448467	0.0158461863511515
cdescubierto_preacordado	0.00988125248911251	0.0104329976189038	0.0116205366575111
mautoservicio	0.0078882430928193	0.00807192434841873	0.00993027678005493
Visa_fechaalta	0.00682268125003636	0.0203846104970617	0.0223959433762941
cpayroll_trx	0.00652381791200608	0.00469389937619931	0.00338051975491232
cliente_antiguedad	0.00633195023618588	0.0212846252866238	0.021550813437566
Master_fechaalta	0.00626753947702573	0.0251782736768295	0.0259877456158884
cmobile_app_trx	0.00623245970970195	0.0144190177201567	0.0207056834988379
Master_Fvencimiento	0.00557446907526207	0.0240778402346864	0.0223959433762941
cliente_edad	0.00534029353918811	0.0238410602707466	0.0226072258609761
mrentabilidad	0.00527750184114992	0.0221069450102135	0.0198605535601099
internet	0.00503663612726764	0.0132783822535334	0.0147897739277414
Visa_Fvencimiento	0.00498051406653139	0.0198681702874183	0.021339530952884
mactivos_margen	0.00483932208307933	0.0228534900243916	0.02091696598352
ccajas_transacciones	0.00425948810691027	0.00776882295029699	0.0130995140502852
Master_msaldopesos	0.0039568680930908	0.0073506870732358	0.00824001690259878
Master_mlimitecompra	0.00395201468385235	0.0124953248599469	0.0139446439890133
mcomisiones_mantenimiento	0.00394538332555567	0.0110472607917516	0.0116205366575111
chomebanking_transacciones	0.0038939368249035	0.014099088877612	0.0137333615043313
mcuenta_debitos_automaticos	0.00384070938251501	0.0119265715771134	0.0111979716881471
Master_msaldototal	0.00366197167399294	0.00647199592292427	0.0073948869638707
Visa_cconsumos	0.0035212522914639	0.0146949652765095	0.0147897739277414
Master_mfinanciacion_limite	0.00347900527228085	0.0111299334219294	0.0135220790196493
Master_mpagominimo	0.00346602806268314	0.0128878047733566	0.0130995140502852
mpagomiscuentas	0.00341787405192762	0.0128386077987457	0.010775406718783
ccaja_seguridad	0.00337034414317102	0.01045355311553	0.0073948869638707
ctarjeta_visa	0.00312333995506616	0.00215747962839032	0.00232410733150222
Visa_mlimitecompra	0.0031071753706376	0.00997745831699014	0.0124656665962392
cprestamos_personales	0.00297098544244493	0.00638784589843243	0.00485949714768646
mtarjeta_master_consumo	0.00272053087465036	0.00945043310198388	0.0084512993872808
Visa_mfinanciacion_limite	0.00263869821040547	0.0140615599894643	0.0139446439890133
Visa_mpagospesos	0.00247617448201539	0.0149049677885664	0.0135220790196493
mcomisiones	0.00242650339315089	0.0115320381624215	0.0120431016268751
ccomisiones_mantenimiento	0.00227519195220786	0.0102887429945361	0.00760616944855272
ccaja_ahorro	0.00226847441854422	0.00832072830490426	0.00676103950982464
numero_de_cliente	0.00222427800588006	0.0104834415450415	0.0114092541728291
mcomisiones_otras	0.00220499449787658	0.00788742929243943	0.00993027678005493
Visa_mconsumospesos	0.00219784338796248	0.0094175156300573	0.0116205366575111
tmobile_app	0.00215899512226967	0.0080771374763623	0.0063384745404606
Visa_mconsumosdolares	0.00215383946155119	0.00922119117766381	0.00971899429537291
Visa_mconsumototal	0.00196594542918108	0.0102674936090726	0.0120431016268751
mtransferencias_recibidas	0.00177847418315572	0.00860328956925227	0.00993027678005493
mttarjeta_visa_debitos_automaticos	0.00174918962186931	0.00722274267725732	0.00824001690259878
mcaja_ahorro_dolares	0.00173418596934018	0.00654592452956212	0.00866258187196281
mplazo_fijo_dolares	0.00170839065652652	0.00889097946585518	0.00676103950982464
ccajas_consultas	0.00167225477210041	0.00454488226756092	0.0031692372702303
Master_mconsumototal	0.00160011679497626	0.0073909710329294	0.00824001690259878
ctransferencias_recibidas	0.00157939128604917	0.00844698278710929	0.00718360447918868
ccajas_otras	0.00154529056185546	0.0053159387128804	0.00380308472427636
Master_fultimo_cierre	0.00138070592769371	0.00635268288956748	0.00718360447918868
mtransferencias_emitidas	0.00136166132298097	0.0107412276492804	0.00887386435664483
Visa_mpagado	0.00129019353860161	0.00816409890285907	0.0073948869638707
ctarjeta_visa_debitos_automaticos	0.0012756816711631	0.00566486749996776	0.0042256496936404
ctarjeta_debito_transacciones	0.00113764162833238	0.00806046109998879	0.0073948869638707
Master_mconsumospesos	0.0011100346122544	0.00569408764539605	0.00654975702514262
Visa_msaldodolares	0.00109928944057179	0.00557493080103954	0.00549334460173252
Visa_mpagosdolares	0.000945126158061269	0.0024227704860687	0.0042256496936404
cproductos	0.000910986221026611	0.0056720061054229	0.00443693217832242
Visa_fultimo_cierre	0.000901493011204687	0.00508848656087494	0.0052820621170505
Visa_delinquency	0.000849404014092698	0.00153580643969348	0.00232410733150222
ccomisiones_otras	0.000836784500591518	0.00454361227175541	0.00401436720895838
mextraccion_autoservicio	0.000787771754867788	0.00284529757846546	0.0042256496936404
cseguro_accidentes_personales	0.000745686821232503	0.00477485392737408	0.00549334460173252
Master_mpagospesos	0.000687572597741611	0.00272378765720317	0.00443693217832242
mttarjeta_master_debitos_automaticos	0.000644922965266349	0.00550089209395887	0.00464821466300444
Master_cconsumos	0.000594394001703479	0.0024668797960313	0.00295795478554828
Master_mpagado	0.000564036473611203	0.00312307587473951	0.00485949714768646
ccuenta_debitos_automaticos	0.000506438101372362	0.00154246367577073	0.0010564124234101
cplazo_fijo	0.000473185688318747	0.00342074906498287	0.00232410733150222
ctarjeta_debito	0.000435953216574146	0.00396240995745742	0.00274667230086626
matm	0.000429636152534379	0.00212058061719446	0.00274667230086626
ctarjeta_master	0.000396570564667642	0.000272626619740424	0.00021128248468202
cseguro_vida	0.00035866626971918	0.0023050654312721	0.00169025987745616
Master_mconsumosdolares	0.000352416776147147	0.00166422964457444	0.00190154236213818
ccajas_extracciones	0.000350633924701849	0.00212488733684135	0.00147897739277414
Master_msaldodolares	0.000272821549649578	0.000544897333398257	0.00126769490809212
catm_trx_other	0.000263792916069516	0.00158525690137037	0.00126769490809212
catm_trx	0.000224989448465799	0.00216244695069411	0.00147897739277414
Visa_madelantopesos	0.000207139882173867	0.000330216832759458	0.00084512993872808
Master_mpagosdolares	0.000185277886222686	0.00146649949117849	0.00126769490809212
matm_other	0.00017771139509056	0.000353924274620708	0.00063384745404606
mprestamos_prendarios	0.000141550675439798	0.00185602973691082	0.00126769490809212
mcheques_depositados	0.000135820998042962	0.00124394296816522	0.00084512993872808
cextraccion_autoservicio	0.000128571060189311	0.00117525821517591	0.0010564124234101
Visa_madelantodolares	0.00011934337848426	0.000593036831663011	0.00063384745404606
cforex	0.000117458433677243	0.00124312617650805	0.00084512993872808
ccajas_depositos	8.95798796042438e-05	0.000933587743194691	0.00063384745404606
minversion2	8.12278645192722e-05	0.00116852160436081	0.00084512993872808
cseguro_vivienda	7.70603961183279e-05	0.000930986300173735	0.00063384745404606
mforex_sell	6.66441307687472e-05	0.000111541990474309	0.00021128248468202
mcaja_ahorro_adicional	6.06102271246988e-05	0.000621048432695744	0.00042256496936404
minversion1_pesos	5.59108687439023e-05	0.00124014578312577	0.00084512993872808
Master_delinquency	4.25756182411054e-05	0.0004035360462487	0.00042256496936404
mcheques_emitidos	4.13420243175958e-05	0.000310542139675772	0.00021128248468202
ctransferencias_emitidas	3.63359404530604e-05	0.000310524216347872	0.00021128248468202
ccheques_depositados	3.03632856195948e-05	0.000310537018724944	0.00021128248468202
Master_cadelantosefectivo	2.83226534904782e-05	0.000144894743221328	0.00021128248468202
ccallcenter_transacciones	9.25397823739819e-06	5.56775378845318e-05	0.00021128248468202
