Feature	Gain	Cover	Frequency
ctrx_quarter	0.220248142559517	0.0716271904567201	0.0366090472097539
mpasivos_margen	0.0678114736761529	0.0323976488366062	0.0256263330468278
cpayroll_trx	0.0574038135377469	0.0416099514779871	0.0176360105688728
mpayroll	0.0532434421749271	0.0454935577862446	0.0192277082736447
mcaja_ahorro	0.0429635120221974	0.0180232088479	0.0182726896507815
mcuentas_saldo	0.0427554872670751	0.0459319331198845	0.0445675357336135
mprestamos_personales	0.0363646179394202	0.0282192147055093	0.0248941521026327
Visa_msaldototal	0.0342051633484734	0.0192578299645414	0.0187820329163085
mtarjeta_visa_consumo	0.0307115162242064	0.0276472852169534	0.0168401617164868
Visa_msaldopesos	0.0259058695504939	0.0193087423833614	0.0185591952376405
mrentabilidad_annual	0.0233590319641849	0.0311492902918133	0.0402381179766339
mcuenta_corriente	0.0231270919074865	0.0188573791690773	0.0286187247317989
Visa_mpagominimo	0.0177449838163094	0.0257845588666752	0.0268360233024544
mactivos_margen	0.0152363506536546	0.0210205036347332	0.032979976442874
cprestamos_personales	0.0147091426497853	0.0101132981466717	0.0114602234743578
ctarjeta_visa_transacciones	0.0145645349345461	0.0144991361048055	0.0134657625823704
active_quarter	0.0111590117705171	0.000893560507157002	0.00120969025562665
Master_fechaalta	0.0110444189922484	0.0196597816876544	0.03014675452838
Master_Fvencimiento	0.00940803573764111	0.0179751452593976	0.0283640530990354
Visa_fechaalta	0.00912346093368845	0.0134040352846685	0.0242574730207239
cliente_antiguedad	0.00901110420009904	0.0139647536317201	0.0227294432241429
Visa_mpagospesos	0.00898465540106807	0.0153326540081037	0.0176041766147773
cliente_edad	0.0084776260719401	0.0200983173768124	0.0264221818992137
mrentabilidad	0.0078000546983037	0.0125188728250707	0.0193550440900264
Visa_status	0.00744389599210146	0.0205352394313002	0.00980485786139496
Visa_Fvencimiento	0.00744311816197946	0.019896850369212	0.0238117976633878
cdescubierto_preacordado	0.00737899124417656	0.0106308936878111	0.00827682806481393
Master_mfinanciacion_limite	0.0072120539599488	0.00956917797021342	0.0181453538343998
mtransferencias_recibidas	0.00702783228579905	0.00939982971471849	0.0143252793429472
ctarjeta_debito_transacciones	0.00617640222638662	0.00637567583677168	0.00598478336994238
cproductos	0.00605281620288815	0.0124144456464521	0.0110463820711171
Master_status	0.00603170231135173	0.00809756331002851	0.00547544010441537
mcomisiones_mantenimiento	0.00583218306317166	0.0131065134891259	0.0141979435265654
mautoservicio	0.00566980515698723	0.00659958803531181	0.00684430013051921
mtarjeta_master_consumo	0.00532670561287085	0.0117769463284098	0.00951835227453602
mpagomiscuentas	0.00520244884816777	0.0117204700312722	0.00872250342215006
Visa_mconsumospesos	0.00520074719371434	0.00609704392125452	0.00913634482539076
Visa_mfinanciacion_limite	0.00500105115940027	0.00794087855887275	0.0138477700315156
mcuenta_debitos_automaticos	0.00490995032824736	0.00962807059592854	0.0102505332187311
numero_de_cliente	0.00486019687689115	0.00959776248670116	0.0153439658740012
Master_mlimitecompra	0.00454581702403867	0.00760394046067789	0.0124470760513163
ccomisiones_mantenimiento	0.00453219000457579	0.0124855481994696	0.00910451087129532
ccomisiones_otras	0.00450672760601207	0.00720264940229923	0.00856333365167287
tcallcenter	0.00430186622680374	0.00731161326760261	0.0070034699009964
Master_mpagominimo	0.00422812603164052	0.00984963244073279	0.00964568809091777
mcomisiones_otras	0.00420874070110567	0.00541608642518801	0.0107598764842581
Visa_mlimitecompra	0.00414437954759639	0.00939063355483803	0.0123197402349346
internet	0.00375479420191047	0.00504538753438298	0.00655779454366027
Master_msaldopesos	0.00361782027352394	0.00591294570705137	0.00840416388119568
ctarjeta_master	0.00360234652325584	0.0020949138098666	0.00264221818992137
Visa_cconsumos	0.00350799272321741	0.00885699604767356	0.011332887657976
chomebanking_transacciones	0.00349797015486843	0.00693358842041613	0.008499665743482
ccallcenter_transacciones	0.0034036605292156	0.00717775672799547	0.00690796803871009
mcomisiones	0.00337437783081656	0.0052731152779353	0.00945468436634514
ccuenta_debitos_automaticos	0.00325677204588444	0.00685218737787123	0.00627128895680133
cextraccion_autoservicio	0.00284733788017494	0.00146832324863742	0.00206920701620348
mcaja_ahorro_dolares	0.00283533967174015	0.00470309631083722	0.00744914525833254
ccaja_seguridad	0.00273601863881866	0.00615880370363225	0.00493426288479292
thomebanking	0.00270737975247617	0.00632793021035366	0.00522076847165186
Master_msaldototal	0.00257976911812672	0.0039067387371317	0.005666443828988
Visa_mconsumosdolares	0.00245327835659748	0.00679265791167017	0.00662146245185114
ccaja_ahorro	0.00196303633117878	0.00711794870135163	0.00493426288479292
mtransferencias_emitidas	0.00181830005198566	0.00677940979692807	0.00665329640594658
mextraccion_autoservicio	0.00174276099985732	0.00227152204690128	0.002833221914494
ctarjeta_visa	0.00174193675374005	0.00317782761063234	0.00206920701620348
Visa_mconsumototal	0.00164397861197128	0.00407889642130275	0.00502976474707923
mttarjeta_visa_debitos_automaticos	0.00163387552315841	0.0049276792536014	0.00557094196670168
catm_trx	0.00155062040574193	0.00365346406876201	0.0039155763537389
mplazo_fijo_dolares	0.00154295578809289	0.00434967549802202	0.00337439913411645
ccajas_consultas	0.0014740997395058	0.00549224246781703	0.00369273867507083
Visa_mpagado	0.00134235734361488	0.00541125285171557	0.00423391589469328
ctransferencias_recibidas	0.00130424367969022	0.00448339092477329	0.00404291217012065
Visa_msaldodolares	0.00125797109802063	0.00417691670973762	0.00311972750135294
ccajas_transacciones	0.0012280394667269	0.00349671517539903	0.00318339540954382
