Feature	Gain	Cover	Frequency
mpasivos_margen	0.115755426070664	0.0161890082257802	0.0133071739315875
active_quarter	0.112290187117086	0.0126449775030158	0.0130512667405954
mpayroll	0.0919535193372137	0.0161582176460434	0.00972447325769854
ctrx_quarter	0.0632849514683874	0.0193779019943891	0.0142455002985584
mprestamos_personales	0.0477542570813706	0.0113090426661113	0.00870084449373027
Visa_msaldototal	0.0369987197191246	0.0108495737775328	0.0125394523586113
mtarjeta_visa_consumo	0.0350013924056267	0.0103228981470323	0.00793312292075407
mcuentas_saldo	0.0347030034719796	0.0138433736451995	0.0126247547556086
Visa_mpagospesos	0.0274777166731704	0.017911539052912	0.0197901561033865
mcaja_ahorro	0.0261816210029236	0.0093842099703348	0.00844493730273821
Visa_msaldopesos	0.0224776359320751	0.0113635183071841	0.0133071739315875
Visa_status	0.0216623087013219	0.0107925257460725	0.011515823594643
Visa_cconsumos	0.0177156400048462	0.0175552355968063	0.0181694105604368
mautoservicio	0.0141558274333324	0.00894802344633215	0.00733600614177258
Master_Fvencimiento	0.0137444853980335	0.032480917138808	0.0353151923569052
cdescubierto_preacordado	0.0124059837324901	0.0126706212732786	0.0169751770024738
Master_fechaalta	0.0116041086282518	0.0291362791302595	0.0319883988740084
mrentabilidad_annual	0.0112094646406548	0.0216617089285623	0.0197901561033865
Visa_mpagominimo	0.0109855916783273	0.017790981583537	0.0198754585003839
thomebanking	0.0100126547617752	0.0133536325094899	0.0191077369274077
Visa_fechaalta	0.00965917255744309	0.0226639177010193	0.0269555574511644
tcallcenter	0.00870671378561434	0.0122100690594107	0.0142455002985584
Master_mpagominimo	0.00830276292089575	0.0122110976098259	0.0149279194745372
mactivos_margen	0.0072975894434619	0.0158576344378739	0.0129659643435981
Visa_Fvencimiento	0.00695017108607849	0.0209078342204026	0.0250789047172226
ctarjeta_visa_transacciones	0.00671258599645882	0.00906936095048948	0.00673888936279109
cmobile_app_trx	0.00649822250866589	0.0184904628129352	0.021837413631323
mcuenta_corriente	0.00648758640011303	0.0187391955165946	0.0171457817964685
ccajas_transacciones	0.00644526274300835	0.0139576218605484	0.0167192698114817
mcuenta_debitos_automaticos	0.00642183124322804	0.0115633066177135	0.00929796127271176
ctarjeta_debito_transacciones	0.00628799181150084	0.00511349722139337	0.00409451505587307
mrentabilidad	0.00625164217122601	0.0139359928856933	0.0126247547556086
cpayroll_trx	0.00607344506778542	0.00389937156117381	0.0015354431459524
Master_mlimitecompra	0.0059111665113186	0.0165661890237453	0.0185959225454235
Master_status	0.00585321174007919	0.00828963554476454	0.0116864283886377
cliente_edad	0.00575296671429139	0.0208441564004673	0.0171457817964685
Visa_mconsumototal	0.00552981583584995	0.0176180055739196	0.0226051352042992
cliente_antiguedad	0.00538981641242449	0.0173896227503683	0.0164633626204896
Master_mfinanciacion_limite	0.00515641098851881	0.0150948648987567	0.0173163865904632
Master_fultimo_cierre	0.0050251591244419	0.0128889620365633	0.0122835451676192
mcomisiones	0.00500579493730288	0.0152603935541845	0.0149279194745372
Visa_mfinanciacion_limite	0.00490579336410079	0.0137727779615249	0.0167192698114817
Visa_mconsumospesos	0.00473968250568257	0.0160008737769077	0.0208990872643521
Visa_mlimitecompra	0.00472017674960612	0.0119331201951011	0.0157809434445108
Master_msaldototal	0.00451353602002492	0.0102654362609671	0.012710057152606
numero_de_cliente	0.00443275076813972	0.015735924667442	0.0145867098865478
mpagomiscuentas	0.00436794652979806	0.00982729609978531	0.00767721572976201
internet	0.00423617202047266	0.00845978456226447	0.0090420540817197
mtransferencias_recibidas	0.00420058912766783	0.00699264564340319	0.00793312292075407
chomebanking_transacciones	0.00417963003995607	0.0130847964126564	0.0110893116096562
Visa_mconsumosdolares	0.00399040619917505	0.0121639922323791	0.0155250362535187
mcaja_ahorro_dolares	0.00368211544129989	0.0125236237692661	0.0101509852426853
mcomisiones_mantenimiento	0.00355821345100406	0.00950073742905936	0.00690949415678581
mcomisiones_otras	0.00354419571522251	0.0130722336938278	0.0124541499616139
mttarjeta_visa_debitos_automaticos	0.00349455311661474	0.0108222319861704	0.0107481020216668
Master_msaldopesos	0.0033320368523014	0.0112651933506297	0.0120276379766271
Visa_fultimo_cierre	0.00310856936042341	0.00962406914437672	0.0090420540817197
tmobile_app	0.00305078062054807	0.00648907385196271	0.00631237737780432
mtransferencias_emitidas	0.00303191718107927	0.00978537404839535	0.00998038044869061
ccaja_seguridad	0.00290852183729042	0.00613365186559154	0.0023031647189286
Master_mpagospesos	0.00284199651560856	0.00916381210621975	0.0122835451676192
cseguro_accidentes_personales	0.00280457259293015	0.0129316134052595	0.0133924763285848
Master_mconsumospesos	0.00256689125118686	0.00911301043911521	0.0122835451676192
Visa_mpagado	0.00251556725969458	0.0107177438419211	0.010065682845688
mextraccion_autoservicio	0.00245097295075497	0.00318499460904674	0.00366800307088629
matm	0.00233285543256855	0.00323060483529827	0.0030708862919048
Master_mconsumototal	0.0022694890954397	0.0080744017340654	0.0098097756546959
ctarjeta_visa	0.00191871641529852	0.00135792999193712	0.00102362876396827
Visa_msaldodolares	0.00183907427598707	0.00515577328076647	0.00580056299582018
ccomisiones_mantenimiento	0.0017267888011308	0.00548787232858095	0.00272967670391538
ccaja_ahorro	0.00172076101121487	0.00541220388294742	0.00255907190992067
mtarjeta_master_consumo	0.00171610883160423	0.00409798525495686	0.00375330546788365
Master_mpagado	0.0016767793991057	0.00705447531850966	0.00776251812675936
cextraccion_autoservicio	0.00166985030848949	0.0000693277467722348	0.000170604793994711
Master_cconsumos	0.00163006791271726	0.00456094959198774	0.00545935340783076
mplazo_fijo_dolares	0.00160925756734176	0.00465276952505824	0.00324149108589951
Visa_mpagosdolares	0.001527828781568	0.00431273116353597	0.00631237737780432
Visa_delinquency	0.00130960691519137	0.00471483351490427	0.00673888936279109
Master_mpagosdolares	0.00129906038314786	0.00244727747442111	0.0023031647189286
cprestamos_personales	0.00104999781542323	0.00359829132173855	0.0023031647189286
cproductos	0.000887735885769031	0.00350800508514514	0.00204725752793654
ctransferencias_recibidas	0.000810578383449757	0.00305652318470199	0.00162074554294976
ctarjeta_debito	0.000716961668703214	0.00263636034009654	0.00127953595496033
ccajas_consultas	0.000700292254170618	0.00257012635936606	0.00110893116096562
Master_mconsumosdolares	0.000692423386534491	0.00320607786385911	0.00332679348289687
minversion2	0.000651734924044477	0.00340642913837315	0.00179135033694447
Visa_madelantodolares	0.000607138936181064	0.00138617455437399	0.00162074554294976
Master_delinquency	0.000605995906271891	0.00118328537735619	0.00221786232193125
ccajas_otras	0.000598660872131108	0.00260342745416952	0.00102362876396827
ccomisiones_otras	0.000574963203403106	0.00343578238483745	0.00170604793994711
Visa_madelantopesos	0.000494306921294783	0.00120879931088015	0.00187665273394182
mttarjeta_master_debitos_automaticos	0.000488720755902245	0.00221639630799739	0.00196195513093918
Visa_cadelantosefectivo	0.00047376514640786	0.000811255446263204	0.0015354431459524
Master_msaldodolares	0.000448400033320439	0.0017996568930283	0.00204725752793654
mtarjeta_visa_descuentos	0.000386553291127007	0.00240381564045693	0.00187665273394182
ctarjeta_master_transacciones	0.000385657754708908	0.000208757189001902	0.000255907190992067
cseguro_vida	0.000378957440570233	0.00255510181424791	0.00179135033694447
minversion1_pesos	0.000343144985300438	0.00306069824733407	0.00187665273394182
mprestamos_prendarios	0.000332165143263004	0.00271026178886296	0.00119423355796298
cplazo_fijo	0.000316416322849984	0.00136178147707171	0.000511814381984134
ctarjeta_master	0.000315175669438724	0.00128815187397717	0.000853023969973556
