Feature	Gain	Cover	Frequency
ctrx_quarter	0.234485798350746	0.0202081039906815	0.0145937044538245
mpasivos_margen	0.0610815802792334	0.0120526914584267	0.0143665650848933
cpayroll_trx	0.0382744971315641	0.00788676411529204	0.00335030569173402
mpayroll	0.0329294710894326	0.0103281230621993	0.00459957222085518
mprestamos_personales	0.0298313777842198	0.0114727369715409	0.00751452745547122
mcaja_ahorro	0.0263982087896059	0.0105751232383696	0.0093694989684087
mtarjeta_visa_consumo	0.0232912820681121	0.00583563097910356	0.00488349643201908
mcuentas_saldo	0.0220958498156181	0.0116711420707977	0.0140258560314967
mrentabilidad_annual	0.0140338694221819	0.0208152262490571	0.0209346785031516
mactivos_margen	0.0128017162392821	0.0134839484567204	0.0165622456512275
Master_fechaalta	0.0122678536210054	0.0166201744006427	0.0187200696560731
cliente_edad	0.0121884841247919	0.0216145734107324	0.024531051844561
mcuenta_corriente	0.0121616824221096	0.0143379689869683	0.0187579262175617
Visa_msaldototal	0.01180737797215	0.0039050741768022	0.00571634078476652
Visa_mpagominimo	0.0117107107965835	0.0122163262117572	0.0110162593931593
numero_de_cliente	0.011065396166772	0.0201251264892451	0.0233196418769283
Master_Fvencimiento	0.0108913546171506	0.0189071213613609	0.023225000473207
Visa_Fvencimiento	0.0100468581297751	0.0157200181980524	0.0233953549999054
Visa_msaldopesos	0.00960480643861235	0.00392403522694569	0.00507277923946168
Visa_fechaalta	0.00948119316542024	0.0129509572934715	0.0169975961083455
cliente_antiguedad	0.00943234018240968	0.016659384862412	0.0176411576536503
Visa_status	0.00928549501572185	0.0110021159485514	0.00342601881471106
Master_mfinanciacion_limite	0.0085012555813284	0.00991402467107337	0.0158051144214571
mrentabilidad	0.00790973712169756	0.0147501025090872	0.014631561015313
cprestamos_personales	0.00668605943136689	0.00207761669310577	0.00323673600726846
cdescubierto_preacordado	0.00664724558826164	0.00572547500194442	0.00308530976131438
mrentabilidad_annual_lag1	0.00661511307898286	0.00761944559223556	0.00948306865287426
ctarjeta_visa_transacciones	0.00638188602373011	0.00824423625757921	0.00620847608411728
mrentabilidad_annual_delta1	0.00601295626892018	0.0113110259829628	0.0130037288713066
Visa_mfinanciacion_limite	0.00541167813469277	0.00800875041074818	0.0123223107645133
mcuenta_corriente_delta1	0.00517655486763809	0.00859587973092042	0.0108648331472052
ctrx_quarter_delta1	0.00516210122841103	0.0117950868127211	0.0119058885881395
chomebanking_transacciones	0.00511175930684573	0.011287945943966	0.00948306865287426
mactivos_margen_delta1	0.00479999693174884	0.0077135208142633	0.0100698453559463
mcuentas_saldo_delta1	0.00463274895546185	0.00924815672572756	0.00866915258087108
Visa_mpagospesos	0.00445625739238789	0.00800452609224227	0.00952092521436278
cproductos	0.00433936559295439	0.00697183178948679	0.0062463326456058
mcaja_ahorro_dolares	0.00412762432575064	0.0080521796248222	0.00762809713993678
mcomisiones_otras	0.00411109074924752	0.00682763506692169	0.0078552365088679
mcomisiones	0.00408925505807806	0.00799311152635448	0.0080445193163105
Master_mpagominimo	0.00408568719465919	0.00384282606479876	0.00389922583331756
