Feature	Gain	Cover	Frequency
ctrx_quarter	0.0569056491330687	0.0132754104601749	0.0130380081666767
mpasivos_margen	0.0444725566924152	0.0112112554301767	0.016736796946721
mtarjeta_visa_consumo	0.0364926654306707	0.00556528604060321	0.00465349417729735
mcuentas_saldo	0.0330240977982903	0.00964652262335516	0.0182683266759581
cpayroll_trx	0.0303573585751701	0.00612740061106581	0.000804664386043296
numero_de_cliente	0.0277416504461907	0.0163367245664983	0.0358798071472869
Visa_Fvencimiento	0.01876916171564	0.00771147179034478	0.0240332357511053
Master_mfinanciacion_limite	0.018361274897446	0.00575839086858539	0.0190974421897541
Master_fechaalta	0.0175324654973577	0.00949344530993609	0.0216348024015453
Visa_fechaalta	0.0166813925369232	0.00748910887825104	0.0212647012405613
mcaja_ahorro	0.0165189374726824	0.00852728095411795	0.0131769350289079
mrentabilidad_annual	0.0145983818936393	0.0151458622713311	0.0284566670445477
Visa_mfinanciacion_limite	0.0144941449897695	0.00612700870187381	0.0209401680903891
mactivos_margen	0.0143176243998311	0.0128578748821989	0.0222772002125025
mcomisiones_otras	0.0139744139452029	0.00519552250313629	0.0138671236804727
cliente_antiguedad	0.0136274481866986	0.0132666466493248	0.0308928885006346
cliente_edad	0.0135780197742837	0.0151237028324663	0.0347772835686199
mpayroll	0.0128888852096088	0.00771003113933037	0.00131035816456498
Visa_msaldototal	0.0115105303918507	0.0052712478373369	0.00808443196695986
Master_Fvencimiento	0.0114160688651449	0.00983636066021411	0.0201877402045448
active_quarter_lag1	0.0113332909753097	0.000648996051580791	0.00151263567597366
cprestamos_personales	0.0112749061513425	0.00757426061513731	0.00273630347850635
mrentabilidad_annual_delta1	0.010414449213658	0.0091107876673713	0.00858790291568584
mrentabilidad	0.00986821162779021	0.0110121102345034	0.0252446779897616
cliente_antiguedad_lag1	0.00984792370279452	0.00590960663694574	0.00784992342351354
Visa_msaldopesos	0.00973079857385739	0.00454667562441104	0.00689077236666911
mcomisiones	0.00963141945270552	0.00560213721188841	0.0178982255149741
chomebanking_transacciones	0.00908767464938138	0.00749358510246259	0.0124389555367356
cproductos	0.00907190177646827	0.00520812326642265	0.0125523198563163
Visa_mconsumototal	0.00883091457260703	0.00350522835464613	0.00642397810957217
Visa_mlimitecompra	0.00865129167022524	0.00626864171928979	0.0155431373464302
Visa_mpagospesos	0.00836599827293267	0.00587794885253711	0.0081366684671588
cdescubierto_preacordado	0.00775167194930208	0.00534224278699235	0.00170602186819953
mcuenta_corriente	0.0076139455531879	0.0126368853045082	0.0265494790798374
mprestamos_personales	0.00738466616192881	0.0143918971522445	0.0031408585013237
ctarjeta_visa_transacciones	0.00726128741446542	0.00608020873966896	0.00544815582926
ctarjeta_debito_transacciones	0.00724179543278764	0.00536560023494831	0.00371990566310347
Master_status	0.00720388052548069	0.00186742275246987	0.00107473820622081
mtransferencias_recibidas	0.00686330694310598	0.00761991364579206	0.0077532303274006
mpasivos_margen_lag1	0.00642689473320531	0.00751324495186502	0.00436452630385639
mtransferencias_emitidas	0.00633636449102631	0.00437143868330076	0.00412446068592082
Visa_mpagominimo	0.00619648052082424	0.00582520680678198	0.00750205056048653
Visa_mconsumospesos	0.00610441149380833	0.00522411657921427	0.00899468076829889
ctarjeta_debito	0.00593096887177927	0.00423699702489364	0.00685187284524437
Master_msaldototal	0.00546820584850642	0.00377770097807382	0.00392440600430784
mrentabilidad_lag1	0.00513211319460925	0.00617843830973973	0.00560486532985683
mautoservicio	0.00507747964784099	0.0047247389190679	0.00420448255856601
mcaja_ahorro_delta1	0.00498575458299824	0.00698639984835284	0.00349651126863565
