Feature	Gain	Cover	Frequency
ctrx_quarter	0.0981824250209413	0.0145901886475643	0.0143058556583069
mpasivos_margen	0.0402904877831887	0.0116097868326861	0.0169789758899514
mcaja_ahorro	0.0337004400479244	0.0085068414413584	0.0137934752359985
cpayroll_trx	0.0245857437557694	0.00794628980052762	0.000923256097448443
numero_de_cliente	0.0228487906983472	0.0157434368867815	0.040524191883797
mrentabilidad_annual	0.0211966977743084	0.0184384889465741	0.031155643688226
cliente_edad	0.021064813417692	0.0201829059589789	0.0448563562126976
mcuentas_saldo	0.0192145392805427	0.0119625056336364	0.0196200419909112
mtarjeta_visa_consumo	0.0188975097268638	0.0053499650270739	0.00397082685572776
Visa_Fvencimiento	0.0186946488585623	0.00847154165518592	0.0254786628765086
mpayroll	0.0179566281791768	0.00924168115481595	0.00139775436531121
mprestamos_personales	0.0173428950953313	0.0177442371058185	0.00359054830533211
cliente_antiguedad	0.0172952452041209	0.0133473027732663	0.0320706434186799
mactivos_margen	0.0161339623808291	0.0140408061964547	0.0195253366047973
Master_fechaalta	0.0158545216854752	0.0103740402882368	0.0217351289474541
Visa_msaldototal	0.0158447641601167	0.00385344680249823	0.00611845361160204
mcuenta_corriente	0.0158225486368115	0.0198152066910225	0.0279720857088601
Master_Fvencimiento	0.0157421454352291	0.0131544420395829	0.0238341888386546
Master_mfinanciacion_limite	0.0145643999657572	0.00792439614603343	0.0212955988221564
mrentabilidad	0.0141639346526858	0.0104616865988992	0.0213393090003628
Visa_fechaalta	0.0131355987300603	0.00814141275885402	0.0201290227326923
Visa_mfinanciacion_limite	0.0129685820065778	0.00707391437853359	0.0217254155745193
mcomisiones	0.0121430502178484	0.00505832544038544	0.0167706240405009
chomebanking_transacciones	0.010453054964164	0.00712563689629677	0.0141922091949702
active_quarter	0.00927778543593884	0.00269011933267784	0.00617381983733014
ctarjeta_visa_transacciones	0.00813759363306478	0.00368986482089062	0.00472749860734516
mcomisiones_otras	0.0079203901941402	0.00444065325312691	0.0115317163481409
Visa_mpagominimo	0.00789860336896771	0.00595129789057282	0.00769736238214643
Visa_msaldopesos	0.00780926794251218	0.00348221506770774	0.00562647127245671
