Feature	Gain	Cover	Frequency
ctrx_quarter	0.0395401696900384	0.0134618124463865	0.00878254750175933
ctrx_quarter_lag1	0.0312180552544154	0.00770330867141346	0.00860426929392447
mingresos	0.027935795387918	0.00723788652832759	0.00831339432324654
mcuentas_saldo	0.021017310052248	0.00940545140941892	0.0101712409101572
mpayroll	0.0206710900238844	0.00796819823395764	0.00419422941590429
mpasivos_margen	0.0193871187816359	0.00724713405345843	0.00880131362889984
mcaja_ahorro	0.0172126312605696	0.00523976498022406	0.00907342247243725
mcaja_ahorro_lag1	0.0170188377839062	0.00544394693927042	0.00966455547736336
mtarjetas_consumo	0.015887992632909	0.00353980072911333	0.00533896317147549
cpayroll_trx	0.0156581933210164	0.00557289638422524	0.00144499178981938
mpasivos_margen_lag1	0.0150465965573195	0.00669113164687078	0.00892329345531316
diff_comisiones_consumo	0.0147928287629333	0.00409712920460604	0.00605207600281492
mingresos_lag1	0.0143847717265927	0.00656132094858886	0.00773164438189069
mprestamos_personales	0.0142821465779194	0.0135219860881873	0.00418484635233404
cpayroll_trx_lag1	0.0115837968122107	0.00316569218253612	0.00112596762843068
active_quarter_lag1	0.0114809197314923	0.000387854795041555	0.00047853624208304
Visa_msaldopesos	0.0113308968673814	0.00487633682002216	0.00714989444053484
mpayroll_lag1	0.0112039997688445	0.00570206671261588	0.00418484635233404
mrentabilidad_annual_lag1	0.0105345246140879	0.0105933656003621	0.0117194463992494
mtarjeta_visa_consumo	0.0103672638406923	0.00335814695979398	0.00537649542575651
mrentabilidad_annual	0.00868338284300701	0.00792646163650754	0.00998357963875205
mcuentas_saldo_lag1	0.00840316216886038	0.00622120271340419	0.00880131362889984
Visa_mpagominimo	0.00817062811906456	0.00674192792249502	0.00885761201032137
mcuenta_corriente	0.00815352275798598	0.00517829907428747	0.00691531785127844
Visa_msaldototal	0.00805000521016343	0.00483469356983276	0.00683087027914614
ctarjeta_visa_transacciones	0.00759280305765512	0.00414033861439161	0.00575181796856674
mprestamos_personales_lag1	0.00730290252531206	0.00724168341855287	0.00291813277034952
active_quarter	0.00699411657730251	0.000269221182756682	0.000309641097818438
cprestamos_personales	0.00698723931737436	0.00449686791263924	0.00167018531550551
mtarjetas_consumo_lag1	0.00683422824329653	0.00315831890137625	0.0047009148486981
Master_fechaalta_lag1	0.00679297989614918	0.00868610243681691	0.0116819141449683
ctarjeta_debito_transacciones_lag1	0.00677306505291178	0.00405905312586869	0.00565798733286418
Master_fechaalta	0.00668124083435052	0.00907176645232034	0.0108280553600751
mactivos_margen	0.0063361162766925	0.00655222170346883	0.00780670889045273
mcuentas_saldo_delta1	0.00633557034537876	0.00848605618397911	0.00848228946751114
mactivos_margen_lag1	0.0062921316748788	0.00786294516399644	0.00781609195402299
Master_Fvencimiento	0.00624596157997208	0.0116817862089147	0.0104714989444053
mrentabilidad_annual_delta1	0.00622213474111705	0.00915530111043746	0.0092329345531316
cliente_antiguedad	0.00621924646692455	0.00858301978670322	0.0103026038001407
mcomisiones_otras	0.00612924554816189	0.00482297291851106	0.00871686605676754
mtarjeta_visa_consumo_lag1	0.00611969193924824	0.00169576861826567	0.00408163265306122
cliente_edad_lag1	0.00608503061527776	0.00668853866740694	0.00979591836734694
Master_Fvencimiento_lag1	0.00586909728846811	0.00631864534507518	0.00989913206661975
Visa_fechaalta	0.00585609662002229	0.00504625802952153	0.00942997888810697
Visa_msaldototal_lag1	0.00580150876284421	0.00357094798257818	0.00621158808350927
ctrx_quarter_delta1	0.00579275857515543	0.0134925740181651	0.00868871686605677
mautoservicio	0.00576517917269612	0.00377555711098214	0.0055266244428806
cliente_edad	0.00574452432290334	0.00818286697024602	0.00909218859957776
diff_visa_compra_delta1	0.00568714873637784	0.00656344988076495	0.00932676518883415
Visa_Fvencimiento	0.0056655033203161	0.00728171133857257	0.00872624912033779
mcuenta_corriente_lag1	0.00562059023879904	0.00470629767797533	0.00653999530846822
mactivos_margen_delta1	0.00557627750062404	0.00824798840100897	0.00811634998827117
Visa_mpagominimo_lag1	0.00554122942310025	0.00387981524511944	0.00550785831574009
numero_de_cliente	0.00552241030756403	0.00850410216861218	0.00954257565095003
Visa_fechaalta_lag1	0.00549166387232744	0.0045091532572664	0.00899835796387521
mcomisiones_otras_lag1	0.00530505706087426	0.00426708844447088	0.00772226131832043
mrentabilidad_lag1	0.00522392620796817	0.00631546808090548	0.00793807178043631
Visa_mconsumospesos_delta1	0.00520592487300729	0.00507423685415411	0.0102650715458597
Visa_Fvencimiento_lag1	0.00520441364309032	0.00609838499262743	0.00839784189537884
ccomisiones_otras_lag1	0.00519801551025146	0.00380408948871211	0.00430682617874736
cliente_antiguedad_lag1	0.00512534742248263	0.00589448883753975	0.00886699507389163
chomebanking_transacciones_lag1	0.00503454138094849	0.00819120291904091	0.00779732582688248
mcuenta_corriente_delta1	0.0050122013953906	0.0108738468444587	0.0065212291813277
Visa_mconsumosdolares	0.00499145598344802	0.00446918603217341	0.00253342716396904
Visa_mpagospesos_delta1	0.004978496220536	0.012070987816697	0.00878254750175933
mingresos_delta1	0.00495386271333415	0.0061466674226796	0.0091484869809993
chomebanking_transacciones	0.00484969333921183	0.00433695906117628	0.00773164438189069
mrentabilidad_delta1	0.00484569416486296	0.00563718767741466	0.00820079756040347
Visa_mpagominimo_delta1	0.00477293981258144	0.00606895909338147	0.00746891860192353
cproductos	0.00454488075929816	0.00482321108847663	0.00356556415669716
Visa_mpagospesos	0.00453041021909672	0.00385367340238258	0.00699038235984049
chomebanking_transacciones_delta1	0.00451612443543762	0.00509562989509362	0.00745015247478302
mcaja_ahorro_delta1	0.00447493155687814	0.00492843842071575	0.00687778559699742
mtransferencias_recibidas	0.00441229505869631	0.00311685312622571	0.00575181796856674
ccomisiones_mantenimiento_delta1	0.00424958590411062	0.00385980935215681	0.00129486277269529
mcomisiones_lag1	0.00423238472611703	0.00330001274435961	0.00633356790992259
mrentabilidad	0.00422403658641596	0.00410247880934879	0.00694346704198921
Visa_msaldopesos_lag1	0.0041783543640188	0.00519522566008237	0.00638048322777387
Master_status	0.00416507992037479	0.0020059285290878	0.000656814449917898
Visa_mconsumototal_delta1	0.00416229945453353	0.00320737307894588	0.00610837438423645
mcomisiones	0.00413644950868224	0.0035322699484601	0.00672765657987333
Master_mfinanciacion_limite_lag1	0.00410882766159481	0.00323353489722824	0.00707482993197279
mautoservicio_lag1	0.00399215548480505	0.00301322537420696	0.00566737039643444
mpasivos_margen_delta1	0.00390854539955962	0.00551759101334965	0.0070935960591133
Master_mfinanciacion_limite	0.0037986431837841	0.00306075142254589	0.00606145906638518
Master_mlimitecompra	0.00376816791761784	0.0028142236119117	0.00581749941355853
Visa_msaldopesos_delta1	0.00376115858564625	0.00405903583933893	0.0068402533427164
diff_comisiones_consumo_lag1	0.00374268120875708	0.00214584723753746	0.00429744311517711
Visa_mconsumospesos	0.00362206422160113	0.00404150537743778	0.00648369692704668
cprestamos_personales_lag1	0.00361538297703639	0.00525282053578825	0.00179216514191884
mcomisiones_otras_delta1	0.00359422333004695	0.00367802766251725	0.00571428571428571
mtransferencias_recibidas_lag1	0.00357230361277249	0.00310621269094139	0.00606145906638518
