num_leaves	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1068	1791	0.0101345613051579	0.2139429823332	154	0.928102279309573	31			259.119999999999	-0.000250172776668963		0.069999999999709	infill_ei	0.280000000000655	0.000232282090889282	0.928019136008349	51
976	1712	0.0101151030043533	0.177835656061904	191	0.927788593496927	14			171.89	-0.000332405335175847		0.0100000000002183	infill_ei	0.25	0.000900792066734589	0.926729295094021	34
1286	805	0.0100069763028044	0.180724352411307	45	0.927625535387514	19			380.06	-0.000422480408314572		0.00999999999930878	infill_ei	0.300000000000182	0.00148905975531708	0.927406569328489	39
1292	1697	0.0101422632953683	0.311269349582592	225	0.927430329794085	26			178.279999999999	-0.00045519401264246		0.0199999999986176	infill_ei	0.270000000000437	0.000541570759789316	0.928165997012855	46
1446	1690	0.0104284370337165	0.111583875211615	206	0.927138742505176	27			178.629999999999	-0.00119941712425497		0.070000000001528	infill_ei	0.260000000000218	0.000767754710754147	0.92896725543295	47
1397	909	0.0107798832796372	0.278603909265649	87	0.927046356103691	33			230.67	-5.23146655802209e-05		0.0500000000010914	infill_ei	0.329999999999927	0.000503196971141636	0.927658930871017	53
1385	812	0.010512732389347	0.182704782021401	196	0.926885312156126	20			92.3400000000001	-0.000541826047666536		0.0299999999997453	infill_ei	0.25	0.000554608386926237	0.928271705959229	40
977	763	0.0100292231898592	0.285396847736448	82	0.926815777836157	65			172.780000000001	-2.12303807226545e-05		0.139999999999418	infill_ei	0.399999999999636	0.000371742234487203	0.927659421376548	85
1184	747	0.0421196882813006	0.414237956595621	195	0.926784564972059	8			93.9899999999998	-0.000514711009812901		0.0299999999997453	infill_ei	0.220000000000255	0.000951725496254265	0.926714093845547	28
1242	2000	0.0106151297417725	0.246525026377713	249	0.926650517630169	11			189.26	-0.000145872867598591		0.0199999999999818	infill_ei	0.220000000000255	0.0014773009642112	0.925441352580425	31
31	764	0.0101141498647526	0.248111030126405	13	0.92661338375782	55			50.8299999999999	-1.62212456077143e-05		0.25	infill_ei	0.369999999998981	0.00117342931551869	0.925975143766273	75
509	1955	0.0101060276908927	0.425619356507147	244	0.926573484409282	13			168.7	-0.000475102477887341		0.0299999999997453	infill_ei	0.240000000000236	0.000956074008650774	0.92695923739333	33
1297	778	0.0693236644277704	0.746625877061375	220	0.926469067396929	2			79.3599999999999	-0.000698856859653755		0	infill_ei	0.210000000000036	0.00185552919989494	0.924892967173649	22
