Feature	Gain	Cover	Frequency
ctrx_quarter	0.0957414469638388	0.0151225731499138	0.0153690509503412
ctrx_quarter_lag1	0.0385916133318578	0.00957332301971482	0.0131734722431496
mingresos	0.0310060843943748	0.00603765073260304	0.00876078954732333
mcuentas_saldo	0.0239577551484186	0.00876305207155292	0.0118532549813089
mpasivos_margen	0.0225804691114893	0.00783575931876672	0.0129940948977908
cpayroll_trx	0.0173092168069284	0.00628946229408999	0.00213817795667678
mpayroll	0.0139393979011608	0.00426722455326363	0.00307811524635685
mrentabilidad_annual_lag1	0.0126064598871229	0.0130716181162752	0.0125922896441871
numero_de_cliente	0.0122329961589411	0.0163265686759582	0.0183897654461832
mprestamos_personales	0.0117884142999472	0.00923059487302609	0.00292743827625546
mrentabilidad_annual_delta1	0.0115503478639919	0.0154914622270936	0.0160722101441476
diff_comisiones_consumo	0.0102649468797188	0.00379068970325039	0.00624233161848591
mrentabilidad_annual	0.00988953562257559	0.0120045935412065	0.0122335349534695
cliente_edad_lag1	0.00966437278020729	0.0107284303201266	0.0138264057802556
cliente_edad	0.00956689666180735	0.0194467114960918	0.0157134554534301
mactivos_margen_lag1	0.00941878153385286	0.0107697044646607	0.0101527577473075
mcuenta_corriente	0.00938900432846156	0.00943277386669289	0.0105043373442108
Master_fechaalta	0.0091327272783794	0.00953954377690487	0.0135035265586098
Master_Fvencimiento	0.00905836734579195	0.0136760624061892	0.0131304216802635
mcuentas_saldo_lag1	0.00897559932089356	0.00893618550022526	0.0112074965380172
Visa_msaldototal	0.0088495865604502	0.00332223260557047	0.00548177167416464
Visa_Fvencimiento_lag1	0.00869032482297044	0.0112994155295738	0.0124918383307862
mprestamos_personales_lag1	0.00843261546937359	0.00534679152338448	0.00208795229997632
Visa_mpagominimo	0.00841589720539169	0.00541850154141402	0.0077562764133141
cliente_antiguedad	0.00831582657406023	0.0101998140834904	0.0115877765101779
mingresos_lag1	0.00818603758283031	0.00463990198310258	0.0072970704091956
Visa_Fvencimiento	0.00814152300205788	0.0107077516408591	0.0124703130493431
mactivos_margen_delta1	0.00813881615047357	0.0129810142887808	0.0109563682545149
mcaja_ahorro_lag1	0.00803989960145709	0.0062892528486805	0.0116380021668783
chomebanking_transacciones_lag1	0.00783831211385024	0.0067814135956078	0.0104828120627677
Master_Fvencimiento_lag1	0.00782427881654789	0.0107292889052649	0.012018282139039
mcuentas_saldo_delta1	0.00779648137499477	0.00790644009243548	0.010446936593696
ctrx_quarter_delta1	0.0077642491861863	0.00996967130684309	0.0108056912844135
mcuenta_corriente_lag1	0.00762242656748204	0.0103822847577666	0.00977247777514691
mtarjetas_consumo	0.00761305371835061	0.00310299192086935	0.00501539057623178
mrentabilidad_delta1	0.00760497382727702	0.00870703882337902	0.0106908897833839
Master_fechaalta_lag1	0.00758067403888494	0.00890868820929321	0.0114586248215195
mcaja_ahorro	0.00751273074946102	0.00479897506640656	0.0107411154400844
mactivos_margen	0.00743019559136864	0.0113497808037255	0.00923434573907054
Visa_fechaalta	0.00738427896086103	0.00674083337121833	0.0103751856555524
mcuenta_corriente_delta1	0.00734865409773957	0.0161802065313186	0.0103751856555524
cliente_antiguedad_lag1	0.00722955206828643	0.0082648329222252	0.0107195901586413
mpasivos_margen_lag1	0.00717757688063967	0.00903259561990489	0.0115949516039922
Visa_fechaalta_lag1	0.00706600565840711	0.00614460470090215	0.00982270343184737
chomebanking_transacciones	0.00692343242244326	0.00503027120321282	0.00992315474524829
mpasivos_margen_delta1	0.00647938696985566	0.00860964282934764	0.0101025320906071
mcomisiones_otras_lag1	0.00641958244691872	0.00568040033231963	0.00787825300815808
mrentabilidad	0.00640139647611049	0.00786461518404686	0.00866751332773676
cpayroll_trx_lag1	0.00638468810199858	0.00170556262850862	0.000997338040194876
Visa_msaldopesos	0.00607275233586934	0.00399182252767484	0.00626385689992897
mrentabilidad_lag1	0.0060677568677419	0.00765621523859618	0.00894734198649647
Visa_mpagospesos_delta1	0.00595120510353265	0.00728244615389564	0.00721096928342338
chomebanking_transacciones_delta1	0.00570863217802625	0.00613729138905329	0.00756254888032661
mcomisiones_otras	0.00540563720565316	0.00495682779522865	0.00768452547517059
mcomisiones_lag1	0.00536130911640012	0.00484683475288174	0.00831593373083353
Visa_mpagominimo_lag1	0.00513267181530537	0.00372909864879245	0.00662261159064655
Master_mfinanciacion_limite_lag1	0.00502875383627272	0.00457815543129518	0.00723966965868079
Master_mfinanciacion_limite	0.00502199764218398	0.0048325596730784	0.00726837003393819
mcaja_ahorro_delta1	0.00497768945213091	0.0046508904624651	0.0066441368720896
ccomisiones_otras_lag1	0.00491386729177041	0.00500938237333237	0.00637865840095859
Visa_mpagominimo_delta1	0.00487003444880862	0.00394175837537453	0.00546742148653594
diff_visa_compra_lag1	0.00481763753240747	0.0052079694134866	0.00608447955457018
mcomisiones	0.00477864989461275	0.00391254567717451	0.00701724175043589
mcomisiones_delta1	0.00476739828026593	0.00475396122824787	0.0061849308679711
Visa_mfinanciacion_limite	0.00468129042875342	0.00432763403942662	0.00660826140301785
mcomisiones_otras_delta1	0.00455144431529793	0.00544621039336576	0.0059481527720975
diff_visa_compra_delta1	0.00446770950072415	0.00370439572632876	0.00546742148653594
ccomisiones_mantenimiento_delta1	0.00444934180283218	0.00213332420104334	0.000846661070093492
diff_visa_compra	0.00438631687161455	0.00344306391895591	0.00582617617725352
cproductos	0.00429671852029162	0.00436616494273872	0.00430505628861097
Visa_mfinanciacion_limite_lag1	0.00420345484241121	0.00436853372095581	0.00579747580199611
cdescubierto_preacordado	0.00419698285926602	0.00594030762882658	0.00134891763709811
mpayroll_lag1	0.00413756591214011	0.00417504283316413	0.00355167143810405
Visa_mconsumospesos_lag1	0.00400688473677563	0.0027215364717219	0.00576160033292435
Visa_mpagospesos_lag1	0.00395303172940617	0.00464464729677415	0.00645040933910211
Visa_mconsumospesos	0.00380614720996964	0.0032599254170609	0.00584052636488222
Visa_cconsumos_lag1	0.00373598205864031	0.00326552825806559	0.0052952192349915
Visa_msaldototal_lag1	0.00372378620101227	0.00288736046716408	0.00433375666386838
mcaja_ahorro_dolares_delta1	0.00370516005553808	0.00483193874148562	0.00457053475974198
ctarjeta_visa_transacciones	0.00366828499428956	0.0028612284500124	0.00490058907520216
mtarjetas_consumo_lag1	0.00366172101975402	0.00222422703477884	0.00370234840820544
