Feature	Gain	Cover	Frequency
ctrx_quarter	0.109716767080494	0.0155213133136975	0.0155266888172064
mingresos	0.03851517078544	0.00656642428432147	0.00515791139138325
mpasivos_margen	0.0341012378966061	0.0114087339915936	0.0168202028421144
cliente_edad	0.0256860886205476	0.0185605899886588	0.0423734012702657
numero_de_cliente	0.0245203799467292	0.01591577788601	0.0425077252428971
mrentabilidad_annual	0.0203174358607271	0.0165633870673636	0.0350850341783474
mcuenta_corriente	0.0203105643592391	0.0177274265940924	0.0279755504538278
mpayroll	0.0184743947366459	0.0106158070430157	0.00122570625026235
cpayroll_trx	0.0184719259591264	0.00822407627403873	0.000889250530353666
mtarjetas_consumo	0.0181070570709294	0.00429506448769578	0.00324508635804442
Visa_Fvencimiento	0.0180563372977218	0.00851987563218628	0.0259794187259242
mcuentas_saldo	0.0167548287564252	0.011034752186824	0.0190643172887223
mcaja_ahorro	0.0157957099356498	0.00783103020787897	0.0144966564309216
Master_mfinanciacion_limite	0.0154455564031955	0.00776732690332829	0.0208072999912819
cliente_antiguedad	0.015444277706003	0.0138465710542146	0.0292354834855779
Master_Fvencimiento	0.0145650270423984	0.0129906927246727	0.0234130559026668
Visa_fechaalta	0.0144828649746266	0.00802654102725944	0.0195874058359891
mprestamos_personales	0.0141423631675894	0.0163067278690672	0.00338780557896538
Master_fechaalta	0.0139809741691305	0.0100562494975687	0.0205270278560796
mrentabilidad	0.0133933772084731	0.0100079918413683	0.0208389436194499
mactivos_margen	0.013385548158888	0.0138791247324889	0.0188434576798763
diff_comisiones_consumo	0.0116907514058208	0.00530694774051936	0.00498806906060401
Visa_mfinanciacion_limite	0.010597326309609	0.00596301759989889	0.019526055944643
mcomisiones	0.010118680326132	0.00445289271034939	0.0154265916260627
chomebanking_transacciones	0.00967536239291162	0.00710704581056064	0.0141860322442113
Visa_mpagominimo	0.00862808902606963	0.00521918480329058	0.0074633757293372
Visa_msaldototal	0.0085784255232645	0.00314090568282172	0.00546595242477373
cproductos	0.00808639727793299	0.00778029335658907	0.0118353627231602
mcaja_ahorro_dolares	0.00750010364919794	0.00558175782063435	0.0106987752624322
cprestamos_personales	0.00733259652964446	0.00834461700582556	0.00228738226471509
diff_visa_compra	0.00704184045579018	0.00375260505416223	0.00941171912082377
mrentabilidad_annual_delta1	0.00670914342256442	0.00951325449146818	0.0108582849799321
mcomisiones_otras	0.00655798612686442	0.00386759823519287	0.00979983790712918
cdescubierto_preacordado	0.00644366299337141	0.00977556303467499	0.00292219219306488
mrentabilidad_annual_lag1	0.00641600807874953	0.00757291344645828	0.00823380120697839
ccomisiones_otras	0.00599978602100024	0.00535115162135877	0.00986247937513521
Visa_status	0.00576904719223903	0.0133289434742696	0.00111785959915918
Visa_mpagospesos	0.00567250626861124	0.00444528905606783	0.00805814678122952
mtarjeta_visa_consumo	0.00548064477932512	0.00257337843931028	0.00280013819870261
ctarjeta_visa_transacciones	0.00545001195870461	0.00292197944014276	0.00413821161837784
mtransferencias_recibidas	0.00527000236382402	0.00512918408611155	0.0061563001495
Visa_msaldopesos	0.00525939090572531	0.00346804764558948	0.00447143839663673
cliente_edad_lag1	0.00517729694035189	0.00988292695911791	0.0101795614451451
Visa_mlimitecompra	0.00515244009303488	0.00371415062094389	0.00935618132444729
Visa_mconsumospesos	0.00511908600401986	0.00378511675388046	0.00777335412771756
Visa_cconsumos	0.00510846757438692	0.00332373351952056	0.0057869092247634
mttarjeta_visa_debitos_automaticos	0.00498916591626647	0.00382648200785452	0.00512949670486505
mautoservicio	0.00473612999402819	0.00269591576655949	0.0035343995298661
Master_mlimitecompra	0.00472023213316781	0.00430610077309939	0.00971782278922438
mactivos_margen_delta1	0.00467405100122595	0.00837023614954987	0.00640686602152413
mcuenta_debitos_automaticos	0.00436833055806641	0.00512010449347691	0.00435842543889389
cliente_antiguedad_lag1	0.00430334464690231	0.00711781753880047	0.00825446643353708
ctarjeta_debito	0.00430209991454682	0.00765915585272864	0.0078831381438106
mcuenta_corriente_lag1	0.00418559077869359	0.0093002140882756	0.00681500424605827
ctrx_quarter_delta1	0.00399182537521502	0.00941512438856735	0.00610722023642311
Master_Fvencimiento_lag1	0.00390680555493574	0.00488288667162108	0.00558090274750645
chomebanking_transacciones_delta1	0.00388139249441931	0.00418839051849486	0.00399290924413705
mcomisiones_mantenimiento	0.00386298954135199	0.00562808246427687	0.00438813170207201
mrentabilidad_delta1	0.00372146246091524	0.00472838359653389	0.00554603017768866
ctransferencias_recibidas	0.00368052042307733	0.00212818001417616	0.00402713602562488
mtransferencias_emitidas	0.00361872461970464	0.00257059616827203	0.00357056367634381
Master_fechaalta_lag1	0.00352774324128161	0.00378881747882119	0.00464192651574593
mcuentas_saldo_delta1	0.00351818282267811	0.00516964480215135	0.00535810577367056
chomebanking_transacciones_lag1	0.00339388565024091	0.00497838112089467	0.00396707771093869
diff_comisiones_beneficios	0.00339129686022582	0.00577997987041973	0.00426155718940003
Visa_Fvencimiento_lag1	0.00336426151626417	0.00461975754759213	0.00608009712656483
ctarjeta_debito_transacciones	0.00333031050807154	0.00347202638235939	0.0032186090365161
active_quarter	0.00332743908009295	0.00272165484901541	0.00604845349839683
