Feature	Gain	Cover	Frequency
ctrx_quarter	0.0705975781481337	0.00935180274610383	0.00972249146299638
ctrx_quarter_lag1	0.0410777093476353	0.00774706003872182	0.00995362431219338
mingresos_rank	0.0246642652180319	0.00506375150913834	0.00615857204634586
mpasivos_margen_rank	0.0217077438855078	0.00692481811908175	0.0103338751286142
mingresos_rank_lag1	0.0200611610816889	0.00505657461655661	0.00688925008574283
cpayroll_trx	0.0199954647995304	0.00344462313953191	0.00114075244926261
mcuentas_saldo	0.0160709321732927	0.00890819291344724	0.010669390554868
mcaja_ahorro_rank	0.0142229995541033	0.00462718058692817	0.00826859128256364
mcuenta_corriente_rank	0.0140889204930331	0.00992989392968305	0.0104680812991157
diff_comisiones_consumo	0.0120320431052285	0.00344695198652829	0.00474195135771909
mrentabilidad_annual_lag1	0.0117492513751508	0.0140590346023664	0.012518453348444
mprestamos_personales	0.0115327646573278	0.00915779007306631	0.00312402141334009
mpayroll_rank	0.0110918821720769	0.00289023528309555	0.00173722431815809
mtarjeta_visa_consumo	0.010694281531105	0.00192991969545603	0.00361611070517887
numero_de_cliente	0.0103698711363575	0.0136661776046231	0.0163284174110139
Visa_msaldototal	0.0102262542686293	0.0033304921043258	0.00536079092169816
mcuentas_saldo_lag1	0.0100885224788798	0.00837949295889174	0.0103562428236978
mrentabilidad_annual_delta1	0.00997164892644193	0.0149949407859628	0.0138903386469036
mrentabilidad_annual	0.00964350655160528	0.0138300090763442	0.0122649528041634
active_quarter	0.00898292773152428	0.000672654712608663	0.000671030852507419
cliente_edad	0.00885948878853414	0.0166299184302783	0.014524090007605
Visa_msaldopesos	0.00875640364995911	0.00312416395647989	0.00521167295447429
Visa_mpagominimo	0.00874867757413381	0.00688280620197685	0.00808964972189499
Master_Fvencimiento	0.00869831401384421	0.0147899783424857	0.0138083237649304
mpasivos_margen_rank_lag1	0.00857444597779347	0.00864215151654565	0.0101922130597516
Master_fechaalta	0.00847830160168365	0.0110335907159718	0.0127272185025574
Master_Fvencimiento_lag1	0.00844635605144895	0.00766430240691198	0.012481173856638
cliente_antiguedad	0.00838606888955118	0.0108439823142924	0.0123618794828589
Visa_Fvencimiento	0.00819342800241133	0.0130091963875016	0.0131820283025902
cliente_edad_lag1	0.00803389554765774	0.00993112392884949	0.0128465128763365
mcuentas_saldo_delta1	0.00778874217462563	0.00921587349353379	0.0110123618794829
mactivos_margen_delta1	0.00778318554193045	0.0117131891632306	0.0111018326598172
Visa_Fvencimiento_lag1	0.00767693560768001	0.00994678740583179	0.0126452036205842
Master_fechaalta_lag1	0.00758385971898547	0.00811128506031138	0.0116908486303515
mcuenta_corriente_rank_lag1	0.0075234092365144	0.00987180777689606	0.0101474776695844
mactivos_margen_lag1	0.00741507051217899	0.0106010410850016	0.00999090380399934
ctrx_quarter_delta1	0.00734279262800177	0.00973446067819319	0.00997599200727696
chomebanking_transacciones_lag1	0.00732316023606249	0.00724681992419091	0.0101474776695844
mactivos_margen	0.00727872117072022	0.010268630508716	0.00968521197119041
mpasivos_margen_rank_delta1	0.00713607927266986	0.00990096800148858	0.0116610250369067
Visa_fechaalta	0.00708039647558214	0.00738521668897251	0.0107141259450351
mrentabilidad_delta1	0.00683801961254197	0.00792184742860141	0.0107886849286471
chomebanking_transacciones	0.00682964918613785	0.00634014910397356	0.00982687404005308
mcaja_ahorro_rank_lag1	0.00669105633957378	0.00549760422882184	0.00949881451216057
mcuenta_corriente_rank_delta1	0.00660197908674062	0.0136053129105869	0.0109303469975097
cliente_antiguedad_lag1	0.00657692346951162	0.00815515267775071	0.0107886849286471
Visa_fechaalta_lag1	0.00655514024536207	0.00649924865368855	0.010207124856474
cpayroll_trx_lag1	0.0064653500355834	0.00112151333104552	0.000544280580367128
mprestamos_personales_lag1	0.0063062690522875	0.00701919311806495	0.00231878439033119
mpayroll_rank_lag1	0.00630355887403763	0.00266097705452835	0.00190125408210435
mcaja_ahorro_rank_delta1	0.00621973187082848	0.00886026916769412	0.00930496115476954
Master_mfinanciacion_limite	0.00603359657140999	0.00708333249703484	0.00852954772520541
mcomisiones_otras	0.00593820004214767	0.00539794401313156	0.00841770924978751
mtarjeta_visa_consumo_lag1	0.00579763135564135	0.00150141139273567	0.00262447622314013
mcomisiones_otras_lag1	0.00578220316487182	0.00566190497641895	0.00823131179075767
mrentabilidad	0.00573469076433625	0.00781351414770395	0.00884269545637554
mrentabilidad_lag1	0.00555279138141367	0.00935715376617246	0.0091185636957397
mcomisiones	0.00537728575151412	0.00449094121609364	0.00764229582022338
mcomisiones_lag1	0.00535171670154089	0.00432988714715525	0.00702345625624432
Visa_mpagominimo_lag1	0.00521632702407852	0.00372494523205003	0.00671776442343538
Visa_mlimitecompra_rank_delta1	0.00521044154887797	0.00516081055665433	0.00740370707266519
mtarjetas_consumo_rank	0.00505971446429102	0.00230598203593959	0.00372794918059677
Visa_mfinanciacion_limite	0.00503707154963582	0.00483032148406472	0.00762738402350099
Master_mfinanciacion_limite_lag1	0.00496589226725422	0.00588044864171781	0.00784360507597561
chomebanking_transacciones_delta1	0.00489077342345974	0.0073759714305211	0.00770939890547412
diff_visa_compra_delta1	0.0046504055426805	0.00528025504253579	0.00656119055785032
ccomisiones_otras_lag1	0.00461099140647557	0.00411601142204731	0.00533096732825338
Visa_mfinanciacion_limite_lag1	0.00458645160572496	0.00581067339837029	0.00736642758085922
