fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	force_row_wise	seed	extra_trees	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	max_bin	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	iter	metrica_mejor	metrica_sd	metrica
20251103.154702	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	87	0.0054459298706721	0.36370660164649	112	51	1	362946566.716642	NA	362946566.716642
20251103.154803	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	6	0.245867323993612	0.49842719396701	6112	7	2	362946566.716642	NA	336352583.708146
20251103.155008	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	31	0.192326323911788	0.875604217651574	228	93	3	376569865.067466	NA	376569865.067466
20251103.155058	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2	0.153076908834459	0.442276965299646	17	182	4	376569865.067466	NA	366962508.745627
20251103.155248	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	68	0.064424162619906	0.620400092214863	4	3	5	376569865.067466	NA	343349505.247376
20251103.155409	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	16	0.0528658892768913	0.200269186850868	53	12	6	376569865.067466	NA	336720699.650175
20251103.155602	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	14	0.0104468023477671	0.531630632057593	73	219	7	376569865.067466	NA	364561119.44028
20251103.155654	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1	0.0191262287884975	0.975014052229915	6	354	8	376569865.067466	NA	293552713.643178
20251103.155948	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	198	0.00870946322221167	0.818495228797432	1246	2	9	376569865.067466	NA	302740729.635182
20251103.161847	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	432	0.0148093624768265	0.912259000747551	20	73	10	376569865.067466	NA	367663178.410795
20251103.163452	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	314	0.109493333166441	0.320458814003024	24289	5	11	376569865.067466	NA	355346596.701649
20251103.165138	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	820	0.448169391479713	0.804519993545874	402	22	12	389255552.223888	NA	389255552.223888
20251103.171834	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	558	0.0313573900141986	0.280923595121039	1	7	13	389255552.223888	NA	360548865.567216
20251103.200727	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1801	0.121027687575406	0.407239633333134	2	767	14	389255552.223888	NA	386511984.007996
20251103.200812	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	4	0.0361459102480005	0.712753617254261	682	29	15	389255552.223888	NA	339619540.229885
20251103.204512	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1196	0.0051640044227311	0.0752250685838084	12	27	16	389255552.223888	NA	387854662.668666
20251103.204651	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	15	0.0343234066650351	0.468939013534532	4	9	17	389255552.223888	NA	321007846.076962
20251103.204735	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1	0.303233298943664	0.786092649730218	136	590	18	389255552.223888	NA	348507226.386807
20251103.205558	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	156	0.0157154434871052	0.367703290279555	96918	2	19	389255552.223888	NA	295320819.590205
20251103.205645	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1	0.00442798460749839	0.12983257377175	79	117	20	389255552.223888	NA	359776181.909045
20251103.221737	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2064	0.0971849307065884	0.116428127730845	84	105	21	400193973.013493	NA	400193973.013493
20251103.234025	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1192	0.146814748085339	0.564407691835535	51	90	22	400193973.013493	NA	389619690.154923
20251104.010006	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2181	0.00667686792344007	0.0501117242017982	11	218	23	410165997.001499	NA	410165997.001499
20251104.010742	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	192	0.301103809572015	0.0504486277816045	750	291	24	410165997.001499	NA	406758230.884558
20251104.020800	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1334	0.00391372038503502	0.0501690582416145	354	637	25	410165997.001499	NA	394626436.781609
20251104.022826	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	548	0.0289646983634379	0.0501472990876815	1	210	26	410165997.001499	NA	409561619.190405
20251104.023725	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	255	0.495448132984592	0.0509661319126803	1	173	27	410165997.001499	NA	370154312.843578
20251104.025452	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	469	0.0473299280103407	0.050996315179565	832	278	28	410165997.001499	NA	408259330.334833
20251104.035233	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	1497	0.0120054596900545	0.0504630662657266	1	267	29	410165997.001499	NA	409220909.545227
20251104.042056	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	748	0.0234716026943833	0.0503066629760232	16	228	30	410165997.001499	NA	409743748.125937
20251104.042445	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	73	0.128668277396918	0.0505719483492751	394	595	31	410165997.001499	NA	404274732.633683
20251104.045720	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	937	0.00390727930389282	0.0502677591195127	1	169	32	410165997.001499	NA	384621519.24038
20251104.061605	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2192	0.0113581592167097	0.0503541841537122	50	222	33	410165997.001499	NA	408769095.452274
20251104.074147	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2174	0.0316000451018013	0.0506917604362546	3	315	34	410165997.001499	NA	406500859.570215
20251104.075215	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	240	0.121435645674146	0.0811625747466983	948	239	35	410165997.001499	NA	408406826.586707
20251104.095257	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	2093	0.0083880452733957	0.0504580770878737	9	736	36	410165997.001499	NA	404985317.341329
20251104.100958	binary	custom	TRUE	TRUE	FALSE	-100	TRUE	603923	FALSE	-1	0	0.001	0	0	1	1	1	FALSE	1	0.1	50	0.5	31	395	0.0588757455278283	0.0526315303672392	17	284	37	410165997.001499	NA	407546156.921539
