Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.175236911613606	0.00561592101822612	0.00772357723577236
mcaja_ahorro	0.0615909466339068	0.00538006728703339	0.00592334494773519
Visa_status	0.060033070123896	0.000891189122977911	0.000464576074332172
mcuenta_corriente	0.0365773935930495	0.00453315178131324	0.00662020905923345
cpayroll_trx	0.0344175150456516	0.00391491785878498	0.00145180023228804
mpasivos_margen	0.0303191328883075	0.00492789912906775	0.0083623693379791
mtarjeta_visa_consumo	0.0242019465360704	0.00347283607927309	0.00400696864111498
mprestamos_personales	0.0206962572262077	0.005019458316734	0.00418118466898955
ctrx_quarter	0.0203671564275517	0.00770904348286962	0.00963995354239257
foto_mes	0.0194302755684803	0.0145277075451147	0.00818815331010453
cdescubierto_preacordado	0.0153715999019861	0.00105481880028769	0.000871080139372822
ctarjeta_visa_transacciones	0.0106447613109498	0.00628234968126224	0.00365853658536585
mcuentas_saldo	0.0088470669405758	0.00707858026272824	0.00882694541231127
Visa_Finiciomora_delta1	0.00823665367459958	0.00114275526794183	0.000232288037166086
cdescubierto_preacordado_delta3	0.00730780054325255	0.0042384428103092	0.000929152148664344
ccomisiones_mantenimiento_delta3	0.00672732324356904	0.00212019339698829	0.000987224157955865
Visa_mpagominimo	0.00623364027673535	0.00493282016492234	0.00470383275261324
ctrx_quarter_delta1	0.00579416160497116	0.00340575293731482	0.00499419279907085
Visa_mpagospesos	0.00534733047825488	0.00160426292374215	0.00360046457607433
cproductos	0.00515243403330544	0.00378540038320769	0.00307781649245064
mpayroll	0.00487046632968908	0.00693739714009848	0.0021486643437863
cproductos_delta3	0.00485034496960493	0.00377061459001763	0.00145180023228804
mactivos_margen	0.00481136435012377	0.0063176048895496	0.00737514518002323
mprestamos_personales_delta1	0.00435140954767151	0.00791560832548664	0.00319396051103368
ccaja_ahorro	0.0042522960079256	0.00194030161573208	0.00116144018583043
cliente_edad	0.00422836639693355	0.00733195078750552	0.00894308943089431
mrentabilidad_annual_lag3	0.00374522177858217	0.00520879080861906	0.00743321718931475
mcuentas_saldo_delta3	0.00371447312687953	0.00551746889026708	0.00574912891986063
mprestamos_personales_delta3	0.00353596501788099	0.00728304406734209	0.00354239256678281
Visa_fechaalta	0.00352199889761826	0.00289469812867072	0.00592334494773519
numero_de_cliente	0.00347984875361901	0.00497824900407221	0.00900116144018583
mrentabilidad_annual	0.00341826596694467	0.00523675869572601	0.00876887340301975
cliente_antiguedad	0.00331393908079117	0.00443618817944781	0.00725900116144019
Master_fechaalta	0.00327421862525944	0.00403460198789397	0.00522648083623693
mcuentas_saldo_delta1	0.00308854696939829	0.00499427727156315	0.00644599303135889
Visa_Fvencimiento	0.00304644163656445	0.00445584440209538	0.00778164924506388
Visa_Finiciomora	0.00297133762552191	0.00559980200823006	0.00145180023228804
mtarjeta_master_consumo	0.00296789060014149	0.00107683083797203	0.000871080139372822
ctrx_quarter_delta3	0.00294513396601869	0.00552917816352393	0.00673635307781649
Visa_Fvencimiento_lag3	0.00286307618985308	0.00417077682226036	0.0070267131242741
mcaja_ahorro_lag1	0.0028543310432461	0.00483426333407278	0.00650406504065041
ccaja_seguridad	0.00275333717232688	0.00498617326783665	0.000929152148664344
mrentabilidad_annual_delta1	0.00274865633979491	0.00547077489119005	0.00696864111498258
cliente_edad_lag3	0.00271807627417254	0.00389654948169085	0.00667828106852497
mcuentas_saldo_lag3	0.00269715687934221	0.00476218062909203	0.00667828106852497
mcuenta_corriente_delta3	0.002670968697847	0.00243684634879784	0.00418118466898955
mpayroll_lag3	0.00266898816533632	0.000760893355914396	0.00116144018583043
mactivos_margen_delta1	0.00266138785348926	0.00352798483675987	0.00720092915214867
chomebanking_transacciones	0.00256556865935136	0.00428663929586524	0.00638792102206736
mpasivos_margen_lag1	0.00255159244759499	0.00424206204022496	0.00644599303135889
cliente_edad_lag1	0.00250160175554865	0.00365563336574132	0.00563298490127759
Master_fechaalta_lag3	0.00248276482555313	0.0040330541301624	0.00609756097560976
Visa_Fvencimiento_lag1	0.00248250636928982	0.00199245412550172	0.00656213704994193
Visa_msaldototal	0.00246989403139502	0.00262382651574248	0.00348432055749129
Visa_mpagominimo_lag3	0.00244151526556322	0.0016938868529819	0.0040650406504065
mrentabilidad_annual_delta3	0.00243724608068636	0.00311297398959276	0.00569105691056911
mcuentas_saldo_lag1	0.00240548524664795	0.00370604431743193	0.00696864111498258
mrentabilidad_lag1	0.00239354204092238	0.0042978023690432	0.00632984901277584
chomebanking_transacciones_lag3	0.00234874569913165	0.00307354811616622	0.00516840882694541
mcuenta_corriente_lag3	0.00234638148952119	0.00555498393594157	0.00499419279907085
mrentabilidad_annual_lag1	0.00229879978314418	0.00175199346712597	0.00598141695702671
Master_Fvencimiento_lag3	0.0022724395215312	0.00419525112292018	0.00627177700348432
mactivos_margen_lag1	0.00224649241996333	0.00518071298347707	0.00516840882694541
mcomisiones_otras_lag3	0.002235296363918	0.000982441182165296	0.00348432055749129
Master_Fvencimiento	0.00220511846718336	0.00395472764281011	0.00609756097560976
cproductos_delta1	0.00219623091087291	0.00252503759348559	0.000987224157955865
Visa_mpagospesos_lag1	0.00219223501220053	0.00144808285709311	0.00499419279907085
Master_Fvencimiento_lag1	0.00216454303291777	0.00422524326591057	0.00580720092915215
mrentabilidad	0.00215665537282225	0.00451935194034228	0.00580720092915215
mpasivos_margen_delta1	0.00211838085317124	0.00491032649394159	0.00534262485481998
Visa_mconsumospesos	0.00211105964164075	0.00236076050330275	0.00528455284552846
mcuenta_corriente_lag1	0.00210864318951125	0.00425787217669397	0.00551684088269454
mcaja_ahorro_lag3	0.00210767136893726	0.00263240342752451	0.00545876887340302
mcomisiones_mantenimiento	0.00208297645443603	0.00345190248136113	0.00354239256678281
mttarjeta_visa_debitos_automaticos_delta3	0.00207896809434412	0.00278318606016708	0.00319396051103368
Visa_mpagominimo_lag1	0.00205858934757609	0.0018376125108032	0.0037746806039489
mactivos_margen_delta3	0.00204433302677507	0.00178026324756725	0.00481997677119628
mcomisiones_otras	0.00202232898291095	0.00212594856587072	0.00418118466898955
chomebanking_transacciones_lag1	0.00201213241303609	0.00208454729790964	0.00557491289198606
ctrx_quarter_lag3	0.00198257259840397	0.00398465347396984	0.00569105691056911
mcuenta_debitos_automaticos	0.00197266001942157	0.00281287281972678	0.00191637630662021
mpasivos_margen_lag3	0.00196102422439927	0.00389577817039733	0.00609756097560976
cprestamos_personales	0.00195841983592948	0.00196774249829005	0.00121951219512195
mrentabilidad_delta1	0.00191770351652069	0.00315492669277726	0.00534262485481998
Visa_mpagospesos_lag3	0.00191742445856603	0.00217529154807799	0.00522648083623693
mcomisiones_lag1	0.00191159498385221	0.00304820303646689	0.00487804878048781
mpagomiscuentas	0.00190167868685255	0.00419708516855251	0.00150987224157956
cliente_antiguedad_lag1	0.00186849508140263	0.00567114481278444	0.00476190476190476
mttarjeta_visa_debitos_automaticos_lag3	0.00186528137108374	0.0015610590210159	0.0040650406504065
